context,fact,reference,response,model,dialogue_id,annotations.Understandable,annotations.Natural,annotations.Maintains Context,annotations.Engaging,annotations.Uses Knowledge,annotations.Overall,am_scores,fm_scores,am_fm_scores
"hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy","your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.","[""ha ha i'm so shy""]",i know what you mean spend most nights cuddling my dog and star watching,KV-MemNN,persona-usr_00000,0.7614975143287412,0.7614975143287412,0.7614975143287412,0.7614975143287412,0.7614975143287412,0.7614975143287412,0.90770435,0.6152906753249628,0.7614975143287412
"hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy","your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.","[""ha ha i'm so shy""]",i am a little shy but i am a little shy,Seq2Seq,persona-usr_00001,0.752184141778867,0.752184141778867,0.752184141778867,0.752184141778867,0.752184141778867,0.752184141778867,0.9671504,0.5372178934095714,0.752184141778867
"hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy","your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.","[""ha ha i'm so shy""]",i am not . i am a student .,Language Model,persona-usr_00002,0.7032097774026922,0.7032097774026922,0.7032097774026922,0.7032097774026922,0.7032097774026922,0.7032097774026922,0.9067265,0.49969307527504986,0.7032097774026922
"hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy","your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.","[""ha ha i'm so shy""]",i only feel comfortable sharing my music with my dogs !,New Human Generated,persona-usr_00003,0.7904368132205966,0.7904368132205966,0.7904368132205966,0.7904368132205966,0.7904368132205966,0.7904368132205966,0.92169183,0.659181791514588,0.7904368132205966
"hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy","your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","[""ha ha i'm so shy\n""]",ha ha i'm so shy,Original Ground Truth,persona-usr_00004,0.9878089280569813,0.9878089280569813,0.9878089280569813,0.9878089280569813,0.9878089280569813,0.9878089280569813,0.9999999,0.9756179753232521,0.9878089280569813
"hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.",['chicago has some great places to eat too .'],"i will win , i am telling you . then i will drive my sx into the stars .",KV-MemNN,persona-usr_00005,0.8648171159859781,0.8648171159859781,0.8648171159859781,0.8648171159859781,0.8648171159859781,0.8648171159859781,0.8688489,0.8607853121034869,0.8648171159859781
"hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.",['chicago has some great places to eat too .'],i will try that . i am a bit of a tea person .,Seq2Seq,persona-usr_00006,0.8383239957623121,0.8383239957623121,0.8383239957623121,0.8383239957623121,0.8383239957623121,0.8383239957623121,0.89839345,0.7782545393571131,0.8383239957623121
"hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.",['chicago has some great places to eat too .'],i do not know what to say .,Language Model,persona-usr_00007,0.8108684505050607,0.8108684505050607,0.8108684505050607,0.8108684505050607,0.8108684505050607,0.8108684505050607,0.87233436,0.7494025399337666,0.8108684505050607
"hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.",['chicago has some great places to eat too .'],maybe i'll take go for a walk and get a burger after .,New Human Generated,persona-usr_00008,0.9243792558353929,0.9243792558353929,0.9243792558353929,0.9243792558353929,0.9243792558353929,0.9243792558353929,0.8805779,0.9681805898034154,0.9243792558353929
"hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
",['chicago has some great places to eat too .\n'],chicago has some great places to eat too .,Original Ground Truth,persona-usr_00009,0.9856220782907251,0.9856220782907251,0.9856220782907251,0.9856220782907251,0.9856220782907251,0.9856220782907251,1.0000002,0.9712439181628711,0.9856220782907251
