context,dialogue_id,model_name,response,annotations.relevance,am_scores,fm_scores,am_fm_scores
"i enjoy a great meal , but usually just eat when there is nothing else to do . haha
yeah that is cool , what is your favorite color ?",convai2-grade_00000,bert_ranker,"the sky , hey what about your eyes ? are they blue ?",0.177714477536637,0.1135176677444814,0.2419112873287926,0.177714477536637
"hi how are you tonight ?
i am worn out from work today . how are you ?",convai2-grade_00001,bert_ranker,i feel you . i played football right after school so i always was a bit tired .,0.1767546491706894,0.021982036561035118,0.33152726178034364,0.1767546491706894
"anywhere with delicious food . i am a big foodie , although i am a lousy cook .
what kind of foods do you enjoy ? i love cooking but never do it",convai2-grade_00002,bert_ranker,i hate it ! i do enjoy grilling though,0.23127339487581128,0.11460649805721197,0.3479402916944106,0.23127339487581128
"perfect . i don't , but my wife and kids would love a dog .
dogs always chase my cats . i prefer cats .",convai2-grade_00003,bert_ranker,"they are cute , but they are meowing for my tacos , my favorite food !",0.24515868203620572,0.10086685655473646,0.389450507517675,0.24515868203620572
"i hope that i can find a new doctor job soon !
my parents aren't supportive of my dream as a custodian",convai2-grade_00004,bert_ranker,that is no fun . both of my high school aged sons want to be doctors !,0.2115276388338286,0.05549352591361769,0.36756175175403955,0.2115276388338286
"yes i do i've a dog and 2 cats at the moment
i've one dog myself , she can be a bit of pain",convai2-grade_00005,bert_ranker,i'm in college and work with blind children . some dogs can be trained to help .,0.15169000345087602,0.08187476099472507,0.22150524590702697,0.15169000345087602
"me too . should i trade my mini van in for a sports car .
yes . who doesn't love a sports car .",convai2-grade_00006,bert_ranker,why not ? i live for nice cars to be honest,0.20656991118915402,0.1095797314467725,0.3035600909315355,0.20656991118915402
"when i retire in few years i will travel all over the country to nascar races .
cool ! wonder woman and i both love the color grey . you like scorpions ?",convai2-grade_00007,bert_ranker,i love them . that's why i dream of moving to the desert .,0.24175514539810544,0.027768824012781374,0.4557414667834295,0.24175514539810544
"i have to drink another substance that contains particles of hydrogen and oxygen
dang that kinda weird . well do you have a pet",convai2-grade_00008,bert_ranker,no . i do not get along with anyone even pets,0.22871751817389374,0.11675096088014872,0.34068407546763874,0.22871751817389374
"that must be interesting . i don't have time outside of house building to do much
that is fine , do you like death metal music ?",convai2-grade_00009,bert_ranker,"i do ! i work in a casino as a blackjack dealer , we have live bands",0.2538082821507979,0.06848366041246226,0.4391329038891336,0.2538082821507979
"west virginia . nice to meet you too . i used to visit my uncle on long island
what do you do for work ?",convai2-grade_00010,bert_ranker,dude i start senior year next week . almost done ! you ?,0.1612269031057963,0.11233162043954273,0.21012218577204983,0.1612269031057963
"oh very cool . i go on twitch for my pot farm updates .
pot farm updates ? like a real pot farm ?",convai2-grade_00011,bert_ranker,naw . its just my family farm . i do not need more than one . lol,0.22618000319412207,0.06555058775125087,0.38680941863699325,0.22618000319412207
"yes well i love disney musicals .
i like the movie tangled a lot , but frozen is nice too",convai2-grade_00012,bert_ranker,disney rocks . i'm married and love movies,0.04986869742179141,0.09971256680058578,2.4828042997039733e-05,0.04986869742179141
"yeah i am interested in taking pictures , of yoda for sure
wow . i try coffee as a hobby",convai2-grade_00013,bert_ranker,really ? you funny ! only time i pass on coffee is when i travel by myself .,0.166525182087844,0.09496679330392108,0.23808357087176693,0.166525182087844
"do you live in the southwest by chance ?
no i do not . i love wearing band shirts with ruffles on the sleeves",convai2-grade_00014,bert_ranker,fun ! ! i love band shirts ! so does my labrador bongo,0.1946343310628373,0.0969958919627709,0.2922727701629037,0.1946343310628373
"my favorite thing to shop for is watches . shoes too i guess .
i've two pairs of jeans and one pair of shoes .",convai2-grade_00015,bert_ranker,sounds comfortable i could use those at my new job,0.15153968635969983,0.055267550416174004,0.24781182230322565,0.15153968635969983
"that s funny . mine is a bottle of wine .
that can't hurt either ! what else do you like to do ?",convai2-grade_00016,bert_ranker,i go to mexico and ski ! but i hate the food down there,0.19336190730930491,0.08823736109069048,0.29848645352791936,0.19336190730930491
"i have a daughter who people say is a child prodigy
what talents does she have ?",convai2-grade_00017,bert_ranker,she plays the violin . she's talented and gorgeous,0.1330392867787162,0.03552357143716659,0.23055500212026583,0.1330392867787162
"i build houses , sometimes i fix them , have my dads genes .
maybe i do too . he is an electrician i pay electric guitar .",convai2-grade_00018,bert_ranker,neat . i work with bitcoins though,0.08655469295126127,0.05841270014557267,0.11469668575694986,0.08655469295126127
"that's interesting . what was the bet ?
that the cubs would loose last year at the world series lol",convai2-grade_00019,bert_ranker,"well , then dallas cowboys !",0.08366903370065462,0.0750530086451902,0.09228505875611905,0.08366903370065462
"money makes the world go round .
yeah yeah it sure does my friend",convai2-grade_00020,bert_ranker,"money makes the world go round , am i right ?",0.2482253084131715,0.08645778604517475,0.40999283078116827,0.2482253084131715
"i am well . just took my dog for a walk
i have a dog she loves for me to sing to her",convai2-grade_00021,bert_ranker,"ll , i have no time for music . what does she sing about ?",0.24258148906087437,0.07178687776993259,0.41337610035181616,0.24258148906087437
"i have two dogs . do you have any pets ?
no , i cannot afford pets right now . organic pet food is super expensive .",convai2-grade_00022,bert_ranker,how so ? organic food is not nice .,0.1955052146871581,0.14098211615654732,0.25002831321776886,0.1955052146871581
"never tried it , but maybe i should . what is your favorite movie ?
i like forest gump , but i prefer books . i work at a bookstore .",convai2-grade_00023,bert_ranker,"that is funny , i am an illustrator for a publishing company !",0.26490467513834604,0.08387743103421166,0.4459319192424804,0.26490467513834604
"long hair all the way . although short hair may look more professional .
i've to get used to this . so any hobbies ?",convai2-grade_00024,bert_ranker,video games is one hobbie . also being an amateur cook . how about yourself ?,0.1717810007431045,0.14393888095882276,0.19962312052738626,0.1717810007431045
"just watched a war documentary while eating a cheese burger
that is in the past you can be rich today , i love people and hang out",convai2-grade_00025,bert_ranker,that must be great i'm not rich but i try to be,0.20454021229042418,0.12542221249700233,0.28365821208384606,0.20454021229042418
"i understand that . i have alot of tress around me
what is your name by the way ?",convai2-grade_00026,bert_ranker,oh how silly huh ! angela .,0.056666765779990295,0.11333353155998059,0.0,0.056666765779990295
"very nice . do you like sports ? i like to watch the nhl hockey league .
i like to play soccer .",convai2-grade_00027,bert_ranker,i like soccer but do not have time with being actress and cashier .,0.18839836674427263,0.10536368253876163,0.27143305094978365,0.18839836674427263
"hey ! my name is coach jon .
what sport do you coach ?",convai2-grade_00028,bert_ranker,for the philadelphia eagles ! do you like teaching ?,0.24363022965755124,0.13612630742722043,0.35113415188788205,0.24363022965755124
"love travelling , working nights at a bar and in college studying nursing is hectic .
oh i bet , i go to europe at least twice a year to visit",convai2-grade_00029,bert_ranker,i'm a college student so traveling is not in the budget right now,0.24599596094775142,0.11221315973422251,0.3797787621612803,0.24599596094775142
"get out ! i danced for a queen too . she paid for the dance though .
flamingo dancing is not stripping , think of tango .",convai2-grade_00030,bert_ranker,what kind of dance ? exotic ?,0.18217848688866797,0.006633993931916928,0.357722979845419,0.18217848688866797
"i work in a shipyard 40 hours a week so when i've time i try .
that sounds like am interesting job . i work as a teacher .",convai2-grade_00031,bert_ranker,awesome . i teach 4th . my kid with autism has really benefited from his special ed teacher,0.14830014185999849,0.0721929567470151,0.22440732697298188,0.14830014185999849
"i am doing good , i just finished playing ping pong .
i am trying to write invoices for my dog walking business .",convai2-grade_00032,bert_ranker,"sounds fun ! i've a small french bulldog , i work at sears selling washers",0.16477744376344075,0.10565130081052393,0.22390358671635757,0.16477744376344075
"everybody should have their own money , especially when they turn 40 !
did your wife ever work ?",convai2-grade_00033,bert_ranker,i've been working 3 jobs to buy a ring . she said yes ! ! !,0.16525759937181544,0.009718221012865189,0.3207969777307657,0.16525759937181544
"nice . i enjoy taking walks around my neighbor hood .
i wish i had time for walks . my job at the bank keeps me busy .",convai2-grade_00034,bert_ranker,my exercise is walking to work when my old honda does not want to start .,0.17873492548929404,0.1325173966386958,0.22495245433989225,0.17873492548929404
"are you a teenage girl ?
i love to sleep in late and eat brunch and then do it all again",convai2-grade_00035,bert_ranker,"yes , i am a girl who bakes and researches cars all the time",0.16426455420132938,0.09640063592011013,0.23212847248254861,0.16426455420132938
"in my free time i watch war documentaries
that's great , my grandfather served in world war ii",convai2-grade_00036,bert_ranker,he was a soldier in what army ?,0.18635496698091833,0.047878050832143915,0.32483188312969274,0.18635496698091833
"ok sure i want to make computer like my dad used to
that is great , please tell me more interesting things",convai2-grade_00037,bert_ranker,well i stole the jailers laptop !,0.03880760824213723,0.07761521648427445,0.0,0.03880760824213723
"yum . will be ready to run again after i have my twins in 2 months .
did you take fertility stuff ? when i'm older i want to be a physical therapist .",convai2-grade_00038,bert_ranker,really ? i'd love to try something besides all of this medication,0.11874814625123026,0.10160188902841642,0.1358944034740441,0.11874814625123026
"hi how are you today ? i like to walk .
i am good i like people i volunteer to help local shelters",convai2-grade_00039,bert_ranker,good for you . i should volunteer sometime but i play hockey instead,0.15523366264880173,0.0875669959199756,0.22290032937762788,0.15523366264880173
"just the city for me , like now for my kids .
that is nice , i want to go into a city",convai2-grade_00040,bert_ranker,"what do you want to do in the city ? i'd sing , but i am terrible .",0.23843603285820195,0.0849294629150768,0.3919426028013271,0.23843603285820195
"that is not where it belongs .
had a brain transplant now i move objects with my mind",convai2-grade_00041,bert_ranker,well . . i love to draw pictures of myself in the mirror . . is that weird ?,0.19844973485668257,0.017589268764966005,0.3793102009483991,0.19844973485668257
"nice ! i hope it isn't orange , i hate orange .
no , this one is black , do you go to the gym ?",convai2-grade_00042,bert_ranker,"no , i am working out now , and watching tv",0.23676567261226933,0.0662263538659773,0.40730499135856135,0.23676567261226933
"no problem . always here to help a friend .
so what else do you like to do on your spare time ?",convai2-grade_00043,bert_ranker,"well i like computers , i'm an it person so anything technology related . and you ?",0.17558784424613041,0.12859235059402782,0.222583337898233,0.17558784424613041
"o wow ! ! well my want in life is to shop shop shop .
i hate shopping . or spending money",convai2-grade_00044,bert_ranker,i am into high fashion . shopping is my disease .,0.23585669694939804,0.15655959088727658,0.3151538030115195,0.23585669694939804
"should have named bo haha , dunno if you are old enough to get that reference
i'm and actually thought about that , but i'm a mustang man myself",convai2-grade_00045,bert_ranker,haha ! well i am a cop so it is only natural for me to love guns,0.25810725698305487,0.09789468105888137,0.41831983290722835,0.25810725698305487
"going to the park is my favorite hobby . or going to my daughters piano concerts
i enjoy traveling and cooking .",convai2-grade_00046,bert_ranker,"i like to experience all kinds of cuisine , when the kids are with a sitter !",0.20112840505536483,0.0879477264664972,0.3143090836442325,0.20112840505536483
"i run marathons and never ate meat . you sing or dance ?
i don't . but i do ride horses competitively .",convai2-grade_00047,bert_ranker,oh okay . you sing . my horse ed sing when i ride him . you married ?,0.15484602184923404,0.04157046835250959,0.2681215753459585,0.15484602184923404
"i am too old to cook . what is this vegan you speak of ?
i do not eat anything that has a face , i love animals , especially horses .",convai2-grade_00048,bert_ranker,i do not know much about cows,0.2519281236041776,0.003023354841308581,0.5008328923670466,0.2519281236041776
"i hope your youth was full of music . i love music .
i don't love music much now . i do love baking !",convai2-grade_00049,bert_ranker,"is baking your favorite thing ? i love cars owner of 2 mustangs , well , former owner .",0.1550841981912638,0.1024183677377907,0.2077500286447369,0.1550841981912638
"water is good , it can be relaxing . almost as relaxing as eating chocolate bars .
when i was younger , my favorite color was blue like the water .",convai2-grade_00050,bert_ranker,blue is mine too ! i actually just bought a blue car !,0.27693330101716274,0.07330000624421135,0.48056659579011407,0.27693330101716274
"i would rather read and write poetry these days though
understandable . my girlfriend dabbles in poetry .",convai2-grade_00051,bert_ranker,what does she write ? i enjoy the game of thrones books .,0.3478693986029922,0.13916084582326235,0.556577951382722,0.3478693986029922
"i m not a fan of war . i would rather be in the peacefulness of nature .
i was a poor kid . we ate there a lot while growing up .",convai2-grade_00052,bert_ranker,wow ! were you homeschooled like me ? you seem to be against the mold of society .,0.19171854331145205,0.06691594639737333,0.31652114022553074,0.19171854331145205
"i think kayaking is pretty cool .
i learned how to from my parents",convai2-grade_00053,bert_ranker,how hard was that to learn,0.1621262100046545,0.17033401446918656,0.15391840554012245,0.1621262100046545
"care to chat with a married woman vegetarian ?
sure ! i just got back five guys",convai2-grade_00054,bert_ranker,"congratulations . i woo the ladies in different languages , i know six",0.10104687946320767,0.08935485241297574,0.1127389065134396,0.10104687946320767
"good thing i love running . i actually have an olympic gold metal for running .
wow really , and you work at a hat shop ?",convai2-grade_00055,bert_ranker,no it is just an obsession . i like cold winters . so cpa ?,0.1601904562396088,0.11970470115377768,0.20067621132543995,0.1601904562396088
"that sounds like fun , with lots of good food
not really . she s a bad cook and we end up getting pollo loco a lot",convai2-grade_00056,bert_ranker,but my boyfriend who lives in italy can cook,0.1759096490374906,0.08714248172066696,0.2646768163543142,0.1759096490374906
"i guess we did do that together . maybe i'll keep her .
nah . you need someone to enjoy the whole relationship with",convai2-grade_00057,bert_ranker,she might . she thinks she is better than me because she has an actual job .,0.1713846604037525,0.08624196432247279,0.2565273564850322,0.1713846604037525
"i drove one in the past but never owned one
i used to have all kinds of vintage cars !",convai2-grade_00058,bert_ranker,wow really ? my dad drove a taxi cab in the 70s but we never had a ferrari !,0.3130930317315881,0.15791515582159144,0.4682709076415847,0.3130930317315881
"being a former member of the military , pain is never far from home .
thanks for the service i think about going to mall tomorrow",convai2-grade_00059,bert_ranker,"i don't mind shopping too much , if its the sporting goods store anyway",0.13406354480967078,0.08734397293859157,0.18078311668074998,0.13406354480967078
"nop . . i should since i love papaya ! are you married ?
no , i am single . are you single or are you married ?",convai2-grade_00060,bert_ranker,single i am and i am okay with it . i am in the process of purchasing a house .,0.2434255652978226,0.0616408083749889,0.4252103222206563,0.2434255652978226
"hey there , i'm doing well , what do you do for a living ?
i'm not working that stinks but i find something to do .",convai2-grade_00061,bert_ranker,when i'm not working i play basket ball what do you do for fun,0.26022719251772736,0.07983205195696612,0.44062233307848864,0.26022719251772736
"i eat ice cream sandwiches , like my great great whatever chris columbus .
i have many old but need new hats need over 1000 .",convai2-grade_00062,bert_ranker,with their socks ? i always put on my left first,0.01137148652520783,0.0,0.02274297305041566,0.01137148652520783
"where did you get an apartment
in atlanta near a bar i work nights at so i can afford college",convai2-grade_00063,bert_ranker,maybe i can get you a job at my hotel once you graduate,0.26751477818578506,0.12668401704327648,0.40834553932829365,0.26751477818578506
"that's way cool . rock music keeps me company on the tractor .
i play quite a lot of instruments",convai2-grade_00064,bert_ranker,really that is pretty cool . upright or electric ?,0.0630506991560982,0.06695094451456825,0.05915045379762818,0.0630506991560982
"cool ! i am a homecoming queen that loves horses .
you must be very popular and a good person , too .",convai2-grade_00065,bert_ranker,yes of course i am ! i am pretty popular in the race world .,0.22258310244174342,0.1023508199313528,0.34281538495213404,0.22258310244174342
"nope , do you ? i wonder if my real parents spoke english .
are you adopted ? i wonder",convai2-grade_00066,bert_ranker,nope i only speak english .,0.2885334957640007,0.110354730906138,0.4667122606218635,0.2885334957640007
"that s cool , do you like cars ?
fast ones , but i'd rather sky dive",convai2-grade_00067,bert_ranker,i have never been on one before . i'd like to try,0.19992358924279124,0.0637265809396667,0.3361205975459158,0.19992358924279124
"no , but would love to . i volunteer at a local bunny rescue .
cool , anything else interesting about you ?",convai2-grade_00068,bert_ranker,"well i've one sister , a golden retriever and i play soccer . you ?",0.19779035791287347,0.09425818944960436,0.3013225263761426,0.19779035791287347
"nope , i work in a hat shop 24 7 . my name is sophie by the way .
you should really try to find time .",convai2-grade_00069,bert_ranker,but currently i work at grocery store and need to be taxed less .,0.17552199355595088,0.0,0.35104398711190177,0.17552199355595088
"no not really other than they always prefer me to wear my helmet
well that is nice ! do you play sports ?",convai2-grade_00070,bert_ranker,"no , i don't . i'm not into all those sports",0.13653488645044745,0.05195381922102784,0.22111595367986708,0.13653488645044745
"i haven't spoken a single word in three months , this is the only way i communicate
that must be hard . i would be talking to my lite brite !",convai2-grade_00071,bert_ranker,"brah , she is more interested in my sick skating tricks than books",0.08853971705505083,0.12528769298482106,0.05179174112528059,0.08853971705505083
"hi ! anything but chicken , i d say sushi .
pizza is my favorite . especially with black olives . sushi is my other favorite !",convai2-grade_00072,bert_ranker,i love pizza too ! but i hate sweet potatoes . whats your favorite workout ?,0.27344425233465613,0.10017935238835823,0.44670915228095404,0.27344425233465613
"hello , how are you today ?
good i live in ohio working as a doctor looking for a job in california",convai2-grade_00073,bert_ranker,oh i am sorry i love fl but i am sorry for what happen there,0.13758325779368913,0.132598482811456,0.14256803277592225,0.13758325779368913
"mostly 4 year olds . yes . do you have brothers and sisters ?
no . i'm alone . i keep myself busy by singing to my toys . you ?",convai2-grade_00074,bert_ranker,hmmm . i am fine and i sing . you good with babies ? i am .,0.2376836228438325,0.14507999240958525,0.33028725327807973,0.2376836228438325
"hi , i am planning my lesson for class tomorrow .
awesome me too ! what do you teach ? i teach piano .",convai2-grade_00075,bert_ranker,i teach string instrument lessons . classical music is my favorite,0.22393145917204393,0.12358769184774232,0.32427522649634555,0.22393145917204393
"yes i am doing ok but do feel weird
i am sorry what color are your eyes mine are blue and i am a redhead",convai2-grade_00076,bert_ranker,nice i'm naturally a redhead,0.055172036521644256,0.11034407304328851,0.0,0.055172036521644256
"good luck . i retired after i found out i had cancer .
that's awful . are you ok now ?",convai2-grade_00077,bert_ranker,"yes , i am . i am so glad i healed because i have 3 kids to parent",0.20437319833215414,0.05285973756323357,0.3558866591010747,0.20437319833215414
"i'm great . i had heart surgery and woke up with weird superpowers .
i'm so sorry to hear that i believe your powers are from the lord .",convai2-grade_00078,bert_ranker,yes ! god rocks . do you have a droid phone ?,0.12262556937064258,0.09117554664556615,0.154075592095719,0.12262556937064258
"that's a colorado thing right ? i never tried it .
colorado is the state i live in , i also go hiking during spring",convai2-grade_00079,bert_ranker,i love driving in the mountains in my suburban named midnight .,0.0675493402827805,0.08603924889057223,0.04905943167498879,0.0675493402827805
"ironically , i don't like the food i plant . i prefer pizza .
lol well i do like walks so i'd walk the fields any day",convai2-grade_00080,bert_ranker,"i do walk during sunny days , and that s happiness",0.041010977361093395,0.08202195472218679,0.0,0.041010977361093395
"same here , my name is jessi . who are you ?
i'm dave . what is your favorite show ?",convai2-grade_00081,bert_ranker,"the walking dead . . . kinda gross , but keeps my interest . what about you ?",0.24912042789234462,0.1360995907575099,0.3621412650271793,0.24912042789234462
"that's not true . males are way more dominant
well , you are allowed to think that if you wish .",convai2-grade_00082,bert_ranker,i know right and it makes you a strong woman like i'm myself,0.10108555192622318,0.07488521931789772,0.12728588453454862,0.10108555192622318
