context,dialogue_id,model,reference,response,annotations.appropriateness,am_scores,fm_scores,am_fm_scores
hi how is it going over there ?,persona-zhao_00000,ground-truth,"[""hi i'm doing good . was just reading a book trying to relax .""]",hi i'm doing good . was just reading a book trying to relax .,0.9999998807907104,0.99999976,1.0,0.9999998807907104
hi how is it going over there ?,persona-zhao_00001,GPT2_medium greedy_temp1.0_k0_p0.0,"[""hi i'm doing good . was just reading a book trying to relax .""]",i'm doing well . how about you ?,0.8789943702670042,0.9034402,0.8545485630933652,0.8789943702670042
hi how is it going over there ?,persona-zhao_00002,GPT2_medium sample_temp1.0_k0_p0.0,"[""hi i'm doing good . was just reading a book trying to relax .""]",good . how was your weekend ?,0.890786677380834,0.8797455,0.9018278713632303,0.890786677380834
hi how is it going over there ?,persona-zhao_00003,HRED_attn greedy_temp1.0_k0_p0.0,"[""hi i'm doing good . was just reading a book trying to relax .""]",hi ! i am good . how are you ?,0.8158793602930847,0.90659034,0.7251683780645021,0.8158793602930847
hi how is it going over there ?,persona-zhao_00004,S2S_attn greedy_temp1.0_k0_p0.0,"[""hi i'm doing good . was just reading a book trying to relax .""]",its going good . just got done with my yoga class .,0.8743921976204598,0.9459467,0.8028377018205094,0.8743921976204598
hi how is it going over there ?,persona-zhao_00005,negative-sample,"[""hi i'm doing good . was just reading a book trying to relax .""]","nice , i'm from colorado",0.8214426178098513,0.88100255,0.7618826902629522,0.8214426178098513
"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you",persona-zhao_00006,ground-truth,"['yes , there are several taco spots near me .']","yes , there are several taco spots near me .",0.9999999403953552,0.9999999,1.0,0.9999999403953552
"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you",persona-zhao_00007,GPT2_medium greedy_temp1.0_k0_p0.0,"['yes , there are several taco spots near me .']","i think there are , but i always get the chips with mac and cheese .",0.9229604359167898,0.9395139,0.9064069500959088,0.9229604359167898
"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you",persona-zhao_00008,GPT2_medium top_temp1.0_k0_p0.5,"['yes , there are several taco spots near me .']","i think there are , but i get mad when i get a taco and have to go .",0.876854201684928,0.9195765,0.8341318776816846,0.876854201684928
"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you",persona-zhao_00009,HRED_attn top_temp1.0_k0_p0.5,"['yes , there are several taco spots near me .']","yes , but i think i am in the south and have a family .",0.8694765097019468,0.93819904,0.8007539761299677,0.8694765097019468
"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you",persona-zhao_00010,S2S_attn greedy_temp1.0_k0_p0.0,"['yes , there are several taco spots near me .']",i think so . i have been there for many years .,0.8311871712441479,0.9061524,0.756221915291793,0.8311871712441479
"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you",persona-zhao_00011,negative-sample,"['yes , there are several taco spots near me .']",tell her i say thanks ! are you a fan of any professional sports ?,0.9026261902461108,0.88795424,0.9172981454153172,0.9026261902461108
"hmm . perhaps i'll buy a farm when i retire . . just a few years . no alcohol !
retiring as a teen ? that is pretty impressive . what do you do ?
i'm sixty ! make a living as a librarian for boston college . you ?
oh , okay . i thought you said 16 . sorry , i see things at times .
ha ha yes . how many meds do you take ?",persona-zhao_00012,ground-truth,"['i take a lot . some days eight , some days twelve .']","i take a lot . some days eight , some days twelve .",1.0000001192092896,1.0000002,1.0,1.0000001192092896
"hmm . perhaps i'll buy a farm when i retire . . just a few years . no alcohol !
retiring as a teen ? that is pretty impressive . what do you do ?
i'm sixty ! make a living as a librarian for boston college . you ?
oh , okay . i thought you said 16 . sorry , i see things at times .
ha ha yes . how many meds do you take ?",persona-zhao_00013,GPT2_medium sample_temp1.0_k0_p0.0,"['i take a lot . some days eight , some days twelve .']",major but mostly just general stuff with some bit of poetry .,0.9227405278346421,0.8796306,0.9658504304213289,0.9227405278346421
"hmm . perhaps i'll buy a farm when i retire . . just a few years . no alcohol !
retiring as a teen ? that is pretty impressive . what do you do ?
i'm sixty ! make a living as a librarian for boston college . you ?
oh , okay . i thought you said 16 . sorry , i see things at times .
ha ha yes . how many meds do you take ?",persona-zhao_00014,GPT2_small top_temp1.0_k0_p0.5,"['i take a lot . some days eight , some days twelve .']",just 2 . 15mg . do you like to read ?,0.8782891773331036,0.8677759,0.8888024376129845,0.8782891773331036
"hmm . perhaps i'll buy a farm when i retire . . just a few years . no alcohol !
retiring as a teen ? that is pretty impressive . what do you do ?
i'm sixty ! make a living as a librarian for boston college . you ?
oh , okay . i thought you said 16 . sorry , i see things at times .
ha ha yes . how many meds do you take ?",persona-zhao_00015,HRED_attn top_temp1.0_k0_p0.5,"['i take a lot . some days eight , some days twelve .']",i have a <unk> . i have to keep my <unk> in the face .,0.9182700808135043,0.8924223,0.9441178431684513,0.9182700808135043
"hmm . perhaps i'll buy a farm when i retire . . just a few years . no alcohol !
retiring as a teen ? that is pretty impressive . what do you do ?
i'm sixty ! make a living as a librarian for boston college . you ?
oh , okay . i thought you said 16 . sorry , i see things at times .
ha ha yes . how many meds do you take ?",persona-zhao_00016,S2S_attn sample_temp1.0_k0_p0.0,"['i take a lot . some days eight , some days twelve .']",a few . are you a bad child ?,0.9157568493976145,0.88898814,0.9425255615500508,0.9157568493976145
"hmm . perhaps i'll buy a farm when i retire . . just a few years . no alcohol !
retiring as a teen ? that is pretty impressive . what do you do ?
i'm sixty ! make a living as a librarian for boston college . you ?
oh , okay . i thought you said 16 . sorry , i see things at times .
ha ha yes . how many meds do you take ?",persona-zhao_00017,negative-sample,"['i take a lot . some days eight , some days twelve .']",sure ! the last time i ran was when i was 13 which was like 10 years ago !,0.7630561653485635,0.83829165,0.6878206856470781,0.7630561653485635
"that's a good idea ! then i can hang out with my friends more
it is a rewarding job , i teach at an elementary school and that's even more rewarding
yeah seems like it . i just want to have fun though now
i understand that , i spend a lot of my free time practicing photography
i love taking pictures . i do that a lot but i am nowhere near a professional",persona-zhao_00018,ground-truth,"[""i am not either but i'll have my own studio in my new apartment""]",i am not either but i'll have my own studio in my new apartment,1.0,1.0,1.0,1.0
"that's a good idea ! then i can hang out with my friends more
it is a rewarding job , i teach at an elementary school and that's even more rewarding
yeah seems like it . i just want to have fun though now
i understand that , i spend a lot of my free time practicing photography
i love taking pictures . i do that a lot but i am nowhere near a professional",persona-zhao_00019,GPT2_medium top_temp1.0_k0_p0.5,"[""i am not either but i'll have my own studio in my new apartment""]","you should try taking some class , it is very rewarding",0.8730840129240898,0.8766075,0.8695605481832319,0.8730840129240898
"that's a good idea ! then i can hang out with my friends more
it is a rewarding job , i teach at an elementary school and that's even more rewarding
yeah seems like it . i just want to have fun though now
i understand that , i spend a lot of my free time practicing photography
i love taking pictures . i do that a lot but i am nowhere near a professional",persona-zhao_00020,GPT2_small greedy_temp1.0_k0_p0.0,"[""i am not either but i'll have my own studio in my new apartment""]","i am sorry to hear that , i am sure you'll one day",0.8476504889091829,0.8873793,0.8079216891449651,0.8476504889091829
"that's a good idea ! then i can hang out with my friends more
it is a rewarding job , i teach at an elementary school and that's even more rewarding
yeah seems like it . i just want to have fun though now
i understand that , i spend a lot of my free time practicing photography
i love taking pictures . i do that a lot but i am nowhere near a professional",persona-zhao_00021,HRED_attn greedy_temp1.0_k0_p0.0,"[""i am not either but i'll have my own studio in my new apartment""]",i am sure you are a good person . i am a student,0.792713979900793,0.8994002,0.6860277851838186,0.792713979900793
"that's a good idea ! then i can hang out with my friends more
it is a rewarding job , i teach at an elementary school and that's even more rewarding
yeah seems like it . i just want to have fun though now
i understand that , i spend a lot of my free time practicing photography
i love taking pictures . i do that a lot but i am nowhere near a professional",persona-zhao_00022,S2S_attn greedy_temp1.0_k0_p0.0,"[""i am not either but i'll have my own studio in my new apartment""]","i am a painter , i paint landscapes .",0.854069296467479,0.88930446,0.8188341338399568,0.854069296467479
"that's a good idea ! then i can hang out with my friends more
it is a rewarding job , i teach at an elementary school and that's even more rewarding
yeah seems like it . i just want to have fun though now
i understand that , i spend a lot of my free time practicing photography
i love taking pictures . i do that a lot but i am nowhere near a professional",persona-zhao_00023,negative-sample,"[""i am not either but i'll have my own studio in my new apartment""]",replaying videos of me when i played division a football in college,0.8020219625312027,0.7579532,0.8460906984960908,0.8020219625312027
"hold onto that ! i will take my bees , wife and papaya . all of my favorites !
it is good to have hobbies . i would probably drink alcohol if not .
i'm not close with any other family and they are all that i've .
well it sounds like you are doing well . especially with supermodel wife .
i'm not complaining . italy is awesome !",persona-zhao_00024,ground-truth,['my dogs are actually named after italian cities . venice and milan .'],my dogs are actually named after italian cities . venice and milan .,0.9999999403953552,0.9999999,1.0,0.9999999403953552
"hold onto that ! i will take my bees , wife and papaya . all of my favorites !
it is good to have hobbies . i would probably drink alcohol if not .
i'm not close with any other family and they are all that i've .
well it sounds like you are doing well . especially with supermodel wife .
i'm not complaining . italy is awesome !",persona-zhao_00025,GPT2_medium top_temp1.0_k0_p0.5,['my dogs are actually named after italian cities . venice and milan .'],italy is awesome . i like to go there on vacation .,0.8673187813163725,0.9116527,0.822984878421014,0.8673187813163725
"hold onto that ! i will take my bees , wife and papaya . all of my favorites !
it is good to have hobbies . i would probably drink alcohol if not .
i'm not close with any other family and they are all that i've .
well it sounds like you are doing well . especially with supermodel wife .
i'm not complaining . italy is awesome !",persona-zhao_00026,GPT2_small top_temp1.0_k0_p0.5,['my dogs are actually named after italian cities . venice and milan .'],i would love to visit someday .,0.8664217832317986,0.89805114,0.8347924237710315,0.8664217832317986
"hold onto that ! i will take my bees , wife and papaya . all of my favorites !
it is good to have hobbies . i would probably drink alcohol if not .
i'm not close with any other family and they are all that i've .
well it sounds like you are doing well . especially with supermodel wife .
i'm not complaining . italy is awesome !",persona-zhao_00027,HRED_attn sample_temp1.0_k0_p0.0,['my dogs are actually named after italian cities . venice and milan .'],yes i did a very beautiful life . have you ever traveled ?,0.9364584242304532,0.889865,0.9830518672864375,0.9364584242304532
"hold onto that ! i will take my bees , wife and papaya . all of my favorites !
it is good to have hobbies . i would probably drink alcohol if not .
i'm not close with any other family and they are all that i've .
well it sounds like you are doing well . especially with supermodel wife .
i'm not complaining . italy is awesome !",persona-zhao_00028,S2S_attn greedy_temp1.0_k0_p0.0,['my dogs are actually named after italian cities . venice and milan .'],i love it ! i love it !,0.8931322327619353,0.86523855,0.9210259181987364,0.8931322327619353
"hold onto that ! i will take my bees , wife and papaya . all of my favorites !
it is good to have hobbies . i would probably drink alcohol if not .
i'm not close with any other family and they are all that i've .
well it sounds like you are doing well . especially with supermodel wife .
i'm not complaining . italy is awesome !",persona-zhao_00029,negative-sample,['my dogs are actually named after italian cities . venice and milan .'],"from my view , there are not a lot of people out tonight .",0.8836327631043666,0.88348544,0.8837800897692191,0.8836327631043666
"i can study french while you work on the roof . just stop yelling .
roof is way to high for me . nice that you study french .
are you afraid of heights ? i study many languages . spanish and french currently .
yes am afraid of heights and great to hear you love languages
you should get to trabajo on tackling your fear of heights .",persona-zhao_00030,ground-truth,['you feel that would help me ?'],you feel that would help me ?,0.9999999403953552,0.9999999,1.0,0.9999999403953552
"i can study french while you work on the roof . just stop yelling .
roof is way to high for me . nice that you study french .
are you afraid of heights ? i study many languages . spanish and french currently .
yes am afraid of heights and great to hear you love languages
you should get to trabajo on tackling your fear of heights .",persona-zhao_00031,GPT2_medium top_temp1.0_k0_p0.5,['you feel that would help me ?'],i'll but that's a language i know not . i love just looking up,0.8963534617835209,0.8864344,0.9062725473272654,0.8963534617835209
