context,dialogue_id,model_name,response,annotations.relevance,am_scores,fm_scores,am_fm_scores
"yes , that's my only day off until Thursday .
ok , well , my friends and I are planning on going to the beach on Sunday . We tend to leave around noon whenever we go anywhere , so you could still sleep in . Do you want to come with us ?",dailydialog-grade_00000,transformer_generator,ok . I ' ll be there in the afternoon .,0.2944357454254621,0.08303666146610057,0.5058348293848236,0.2944357454254621
"Hello , 332440 .
Oh hello , Sally . This is Dave Thomson here . Could I speak to Jim please ?",dailydialog-grade_00001,transformer_generator,"This is Jim , please .",0.21755190382447376,0.13858303039799608,0.29652077725095144,0.21755190382447376
"If only our company prescribe flex time .
The board has been considering introducing flex time .",dailydialog-grade_00002,transformer_generator,"But it ' s not a very high - worker , but it ' s not a very high - time job .",0.19597903407608297,0.00803430945625388,0.38392375869591205,0.19597903407608297
"Thank you so much . Does he read his e-mails daily ?
Yes . He usually replies immediately .",dailydialog-grade_00003,transformer_generator,"Oh , he ' s a man of the first person . He ' s a successful successful successful man .",0.25296509295132796,0.12260422223538109,0.3833259636672748,0.25296509295132796
"I'll take a little milk , but no sugar , please . Make sure you let the tea steep a few minutes before you take the tea bag out of the cup .
Ok . What do you think about our living room ?",dailydialog-grade_00004,transformer_generator,It ' s a very good idea .,0.28043958694876325,0.11871432712007107,0.4421648467774555,0.28043958694876325
"I want to take a look at that home with the Open House flags out front .
What a wonderful neighborhood ! Can you find that house on our Open House list ?",dailydialog-grade_00005,transformer_generator,I am sorry I can ' t go there .,0.23381092823707186,0.06420713385636466,0.40341472261777905,0.23381092823707186
"Take it easy . We are going to have our own baby . You should be happy .
Yeah , I know .",dailydialog-grade_00006,transformer_generator,"Well , you know .",0.26107685528220975,0.14334558145119738,0.37880812911322215,0.26107685528220975
"Wow ! Your calligraphy is very beautiful . It was worth the wait !
Thank you . Today I'm writing a kind of poem called a Chinese couplet .",dailydialog-grade_00007,transformer_generator,It ' s so bad .,0.21311900036387843,0.060839357270138505,0.36539864345761836,0.21311900036387843
"Anything wrong with it ?
Yes . When I spread it out back home , I found this hole .",dailydialog-grade_00008,transformer_generator,How do you think it is ?,0.3063444659835542,0.09171217311180035,0.520976758855308,0.3063444659835542
"The service did not help the situation .
Is this a restaurant that you want to come back to ?",dailydialog-grade_00009,transformer_generator,I am afraid I can ' t make it .,0.25681266375800926,0.07699451872072405,0.4366308087952944,0.25681266375800926
"Well , there will be charity performance on Saturday night . And also , there will be a solo concert by an opera star on Sunday night .
It's a good thing that I have choices here . Can you tell me about the one on Saturday ?",dailydialog-grade_00010,transformer_generator,"Sure , let ' s go to the concert with a night .",0.22055683805563556,0.10006122510387687,0.34105245100739423,0.22055683805563556
