dialogue_id,model,context,response,reference,annotations.overall,am_scores,fm_scores,am_fm_scores
dstc6_00000,S_00,,,,0.886313582,,,
dstc6_00001,S_01,,,,0.791698687,,,
dstc6_00002,S_02,,,,0.769981549,,,
dstc6_00003,S_03,,,,0.928631399,,,
dstc6_00004,S_04,,,,0.821845417,,,
dstc6_00005,S_05,,,,0.954985728,,,
dstc6_00006,S_06,,,,0.928631399,,,
dstc6_00007,S_07,,,,0.773419926,,,
dstc6_00008,S_08,,,,0.801506324,,,
dstc6_00009,S_09,,,,0.958450006,,,
dstc6_00010,S_10,,,,0.869449397,,,
dstc6_00011,S_11,,,,0.914507175,,,
dstc6_00012,S_12,,,,0.95118777,,,
dstc6_00013,S_13,,,,0.781557368,,,
dstc6_00014,S_14,,,,0.937412015,,,
dstc6_00015,S_15,,,,0.941348184,,,
dstc6_00016,S_16,,,,0.945427581,,,
dstc6_00017,S_17,,,,0.945427581,,,
dstc6_00018,S_18,,,,0.908968274,,,
dstc6_00019,S_19,,,,0.793702025,,,
dstc6_00020,S_00,,,,0.912396047,,,
dstc6_00021,S_01,,,,0.845405605,,,
dstc6_00022,S_02,,,,0.952271766,,,
dstc6_00023,S_03,,,,0.924714625,,,
dstc6_00024,S_04,,,,0.783436047,,,
dstc6_00025,S_05,,,,0.959429788,,,
dstc6_00026,S_06,,,,0.924714625,,,
dstc6_00027,S_07,,,,0.801230921,,,
dstc6_00028,S_08,,,,0.799792697,,,
dstc6_00029,S_09,,,,0.963114333,,,
dstc6_00030,S_10,,,,0.959889222,,,
dstc6_00031,S_11,,,,0.788288196,,,
dstc6_00032,S_12,,,,0.902758332,,,
dstc6_00033,S_13,,,,0.794965216,,,
dstc6_00034,S_14,,,,0.907338693,,,
dstc6_00035,S_15,,,,0.928631399,,,
dstc6_00036,S_16,,,,0.907338693,,,
dstc6_00037,S_17,,,,0.907338693,,,
dstc6_00038,S_18,,,,0.918800901,,,
dstc6_00039,S_19,,,,0.724394546,,,
dstc6_00040,S_00,,,,0.857761567,,,
dstc6_00041,S_01,,,,0.944385735,,,
dstc6_00042,S_02,,,,0.962028467,,,
dstc6_00043,S_03,,,,0.968292736,,,
dstc6_00044,S_04,,,,0.962028467,,,
dstc6_00045,S_05,,,,0.968292736,,,
dstc6_00046,S_06,,,,0.968292736,,,
dstc6_00047,S_07,,,,0.968292736,,,
dstc6_00048,S_08,,,,0.944385735,,,
dstc6_00049,S_09,,,,0.951280166,,,
dstc6_00050,S_10,,,,0.964775224,,,
dstc6_00051,S_11,,,,0.914884696,,,
dstc6_00052,S_12,,,,0.906023019,,,
dstc6_00053,S_13,,,,0.773750168,,,
dstc6_00054,S_14,,,,0.773750168,,,
dstc6_00055,S_15,,,,0.968292736,,,
dstc6_00056,S_16,,,,0.773750168,,,
dstc6_00057,S_17,,,,0.968292736,,,
dstc6_00058,S_18,,,,0.968292736,,,
dstc6_00059,S_19,,,,0.959055217,,,
dstc6_00060,S_00,,,,0.933430439,,,
dstc6_00061,S_01,,,,0.929069305,,,
dstc6_00062,S_02,,,,0.957902193,,,
dstc6_00063,S_03,,,,0.971426827,,,
dstc6_00064,S_04,,,,0.794478493,,,
dstc6_00065,S_05,,,,0.926803311,,,
dstc6_00066,S_06,,,,0.971426827,,,
dstc6_00067,S_07,,,,0.887912926,,,
dstc6_00068,S_08,,,,0.927783543,,,
dstc6_00069,S_09,,,,0.965945104,,,
dstc6_00070,S_10,,,,0.959683734,,,
dstc6_00071,S_11,,,,0.894668107,,,
dstc6_00072,S_12,,,,0.876386211,,,
dstc6_00073,S_13,,,,0.933430439,,,
dstc6_00074,S_14,,,,0.969332364,,,
dstc6_00075,S_15,,,,0.938113156,,,
dstc6_00076,S_16,,,,0.963777982,,,
dstc6_00077,S_17,,,,0.925121659,,,
dstc6_00078,S_18,,,,0.938113156,,,
dstc6_00079,S_19,,,,0.911261191,,,
dstc6_00080,S_00,,,,0.85798217,,,
dstc6_00081,S_01,,,,0.960136333,,,
dstc6_00082,S_02,,,,0.958122558,,,
dstc6_00083,S_03,,,,0.946627737,,,
dstc6_00084,S_04,,,,0.95459111,,,
dstc6_00085,S_05,,,,0.939816762,,,
dstc6_00086,S_06,,,,0.946627737,,,
dstc6_00087,S_07,,,,0.802338742,,,
dstc6_00088,S_08,,,,0.975857076,,,
dstc6_00089,S_09,,,,0.962887056,,,
dstc6_00090,S_10,,,,0.882195004,,,
dstc6_00091,S_11,,,,0.911435758,,,
dstc6_00092,S_12,,,,0.919788491,,,
dstc6_00093,S_13,,,,0.956389938,,,
dstc6_00094,S_14,,,,0.963315881,,,
dstc6_00095,S_15,,,,0.961020689,,,
dstc6_00096,S_16,,,,0.963315881,,,
dstc6_00097,S_17,,,,0.963315881,,,
dstc6_00098,S_18,,,,0.921135402,,,
dstc6_00099,S_19,,,,0.793702025,,,
dstc6_00100,S_00,,,,0.971757281,,,
dstc6_00101,S_01,,,,0.970506523,,,
dstc6_00102,S_02,,,,0.951136934,,,
dstc6_00103,S_03,,,,0.925471276,,,
dstc6_00104,S_04,,,,0.775534058,,,
dstc6_00105,S_05,,,,0.880691017,,,
dstc6_00106,S_06,,,,0.925471276,,,
dstc6_00107,S_07,,,,0.80595888,,,
dstc6_00108,S_08,,,,0.970506523,,,
dstc6_00109,S_09,,,,0.949474054,,,
dstc6_00110,S_10,,,,0.956836624,,,
dstc6_00111,S_11,,,,0.905347858,,,
dstc6_00112,S_12,,,,0.917576568,,,
dstc6_00113,S_13,,,,0.966532792,,,
dstc6_00114,S_14,,,,0.954790144,,,
dstc6_00115,S_15,,,,0.971757281,,,
dstc6_00116,S_16,,,,0.954790144,,,
dstc6_00117,S_17,,,,0.971757281,,,
dstc6_00118,S_18,,,,0.971757281,,,
dstc6_00119,S_19,,,,0.793702025,,,
dstc6_00120,S_00,,,,0.799776712,,,
dstc6_00121,S_01,,,,0.845541555,,,
dstc6_00122,S_02,,,,0.969332364,,,
dstc6_00123,S_03,,,,0.854460083,,,
dstc6_00124,S_04,,,,0.771317407,,,
dstc6_00125,S_05,,,,0.869069671,,,
dstc6_00126,S_06,,,,0.854460083,,,
dstc6_00127,S_07,,,,0.830986231,,,
dstc6_00128,S_08,,,,0.875287032,,,
dstc6_00129,S_09,,,,0.927173695,,,
dstc6_00130,S_10,,,,0.835064564,,,
dstc6_00131,S_11,,,,0.961262461,,,
dstc6_00132,S_12,,,,0.937916737,,,
dstc6_00133,S_13,,,,0.954985728,,,
dstc6_00134,S_14,,,,0.957360512,,,
dstc6_00135,S_15,,,,0.940418258,,,
dstc6_00136,S_16,,,,0.940547747,,,
dstc6_00137,S_17,,,,0.957360512,,,
dstc6_00138,S_18,,,,0.944971396,,,
dstc6_00139,S_19,,,,0.911438,,,
dstc6_00140,S_00,,,,0.952166788,,,
dstc6_00141,S_01,,,,0.871353841,,,
dstc6_00142,S_02,,,,0.793163826,,,
dstc6_00143,S_03,,,,0.813435365,,,
dstc6_00144,S_04,,,,0.81813216,,,
dstc6_00145,S_05,,,,0.784575236,,,
dstc6_00146,S_06,,,,0.813435365,,,
dstc6_00147,S_07,,,,0.777978514,,,
dstc6_00148,S_08,,,,0.850778113,,,
dstc6_00149,S_09,,,,0.832924788,,,
dstc6_00150,S_10,,,,0.839127205,,,
dstc6_00151,S_11,,,,0.923586858,,,
dstc6_00152,S_12,,,,0.91563809,,,
dstc6_00153,S_13,,,,0.809432386,,,
dstc6_00154,S_14,,,,0.931798127,,,
dstc6_00155,S_15,,,,0.940933578,,,
dstc6_00156,S_16,,,,0.951375886,,,
dstc6_00157,S_17,,,,0.926381657,,,
dstc6_00158,S_18,,,,0.888595828,,,
dstc6_00159,S_19,,,,0.793702025,,,
dstc6_00160,S_00,,,,0.9489662,,,
dstc6_00161,S_01,,,,0.938036055,,,
dstc6_00162,S_02,,,,0.963912013,,,
dstc6_00163,S_03,,,,0.953553278,,,
dstc6_00164,S_04,,,,0.969074513,,,
dstc6_00165,S_05,,,,0.943283129,,,
dstc6_00166,S_06,,,,0.953553278,,,
dstc6_00167,S_07,,,,0.910430053,,,
dstc6_00168,S_08,,,,0.941021862,,,
dstc6_00169,S_09,,,,0.938540569,,,
dstc6_00170,S_10,,,,0.952746034,,,
dstc6_00171,S_11,,,,0.94862184,,,
dstc6_00172,S_12,,,,0.959163284,,,
dstc6_00173,S_13,,,,0.933698396,,,
dstc6_00174,S_14,,,,0.930206136,,,
dstc6_00175,S_15,,,,0.950510487,,,
dstc6_00176,S_16,,,,0.936581546,,,
dstc6_00177,S_17,,,,0.950510487,,,
dstc6_00178,S_18,,,,0.950510487,,,
dstc6_00179,S_19,,,,0.953534136,,,
dstc6_00180,S_00,,,,0.909616074,,,
dstc6_00181,S_01,,,,0.926803311,,,
dstc6_00182,S_02,,,,0.886537454,,,
dstc6_00183,S_03,,,,0.894594338,,,
dstc6_00184,S_04,,,,0.783436047,,,
dstc6_00185,S_05,,,,0.947105875,,,
dstc6_00186,S_06,,,,0.894594338,,,
dstc6_00187,S_07,,,,0.79165182,,,
dstc6_00188,S_08,,,,0.886313582,,,
dstc6_00189,S_09,,,,0.845681793,,,
dstc6_00190,S_10,,,,0.950650325,,,
dstc6_00191,S_11,,,,0.943001542,,,
dstc6_00192,S_12,,,,0.930051068,,,
dstc6_00193,S_13,,,,0.859648185,,,
dstc6_00194,S_14,,,,0.970587507,,,
dstc6_00195,S_15,,,,0.9248749,,,
dstc6_00196,S_16,,,,0.978615534,,,
dstc6_00197,S_17,,,,0.970587507,,,
dstc6_00198,S_18,,,,0.910147342,,,
dstc6_00199,S_19,,,,0.92370777,,,
dstc6_00200,S_00,,,,0.966617712,,,
dstc6_00201,S_01,,,,0.970506523,,,
dstc6_00202,S_02,,,,0.934706971,,,
dstc6_00203,S_03,,,,0.9728012,,,
dstc6_00204,S_04,,,,0.805083264,,,
dstc6_00205,S_05,,,,0.849452147,,,
dstc6_00206,S_06,,,,0.9728012,,,
dstc6_00207,S_07,,,,0.819243441,,,
dstc6_00208,S_08,,,,0.970506523,,,
dstc6_00209,S_09,,,,0.964154283,,,
dstc6_00210,S_10,,,,0.933049709,,,
dstc6_00211,S_11,,,,0.964154283,,,
dstc6_00212,S_12,,,,0.937916737,,,
dstc6_00213,S_13,,,,0.781505569,,,
dstc6_00214,S_14,,,,0.964255018,,,
dstc6_00215,S_15,,,,0.96413216,,,
dstc6_00216,S_16,,,,0.961829014,,,
dstc6_00217,S_17,,,,0.96413216,,,
dstc6_00218,S_18,,,,0.971757281,,,
dstc6_00219,S_19,,,,0.793702025,,,
dstc6_00220,S_00,,,,0.811592999,,,
dstc6_00221,S_01,,,,0.836516656,,,
dstc6_00222,S_02,,,,0.632691719,,,
dstc6_00223,S_03,,,,0.953891331,,,
dstc6_00224,S_04,,,,0.973239497,,,
dstc6_00225,S_05,,,,0.986719002,,,
dstc6_00226,S_06,,,,0.953891331,,,
dstc6_00227,S_07,,,,0.811744725,,,
dstc6_00228,S_08,,,,0.836516656,,,
dstc6_00229,S_09,,,,0.816517387,,,
dstc6_00230,S_10,,,,0.927869574,,,
dstc6_00231,S_11,,,,0.783049155,,,
dstc6_00232,S_12,,,,0.783049155,,,
dstc6_00233,S_13,,,,0.980808817,,,
dstc6_00234,S_14,,,,0.978635597,,,
dstc6_00235,S_15,,,,0.960166487,,,
dstc6_00236,S_16,,,,0.936271228,,,
dstc6_00237,S_17,,,,0.978000463,,,
dstc6_00238,S_18,,,,0.947800642,,,
dstc6_00239,S_19,,,,0.927869574,,,
dstc6_00240,S_00,,,,0.959116918,,,
dstc6_00241,S_01,,,,0.668681025,,,
dstc6_00242,S_02,,,,0.728205537,,,
dstc6_00243,S_03,,,,0.936702744,,,
dstc6_00244,S_04,,,,0.657259861,,,
dstc6_00245,S_05,,,,0.936702744,,,
dstc6_00246,S_06,,,,0.936702744,,,
dstc6_00247,S_07,,,,0.671576516,,,
dstc6_00248,S_08,,,,0.668681025,,,
dstc6_00249,S_09,,,,0.753163294,,,
dstc6_00250,S_10,,,,0.736613246,,,
dstc6_00251,S_11,,,,0.765933568,,,
dstc6_00252,S_12,,,,0.764832912,,,
dstc6_00253,S_13,,,,0.675855543,,,
dstc6_00254,S_14,,,,0.812918163,,,
dstc6_00255,S_15,,,,0.936702744,,,
dstc6_00256,S_16,,,,0.84575129,,,
dstc6_00257,S_17,,,,0.82146101,,,
dstc6_00258,S_18,,,,0.791841177,,,
dstc6_00259,S_19,,,,0.683156038,,,
dstc6_00260,S_00,,,,0.715260136,,,
dstc6_00261,S_01,,,,0.772385892,,,
dstc6_00262,S_02,,,,0.785100827,,,
dstc6_00263,S_03,,,,0.918354391,,,
dstc6_00264,S_04,,,,0.667693367,,,
dstc6_00265,S_05,,,,0.771019285,,,
dstc6_00266,S_06,,,,0.918354391,,,
dstc6_00267,S_07,,,,0.676436085,,,
dstc6_00268,S_08,,,,0.771164151,,,
dstc6_00269,S_09,,,,0.938836411,,,
dstc6_00270,S_10,,,,0.799888147,,,
dstc6_00271,S_11,,,,0.955131725,,,
dstc6_00272,S_12,,,,0.825446998,,,
dstc6_00273,S_13,,,,0.668054361,,,
dstc6_00274,S_14,,,,0.923235239,,,
dstc6_00275,S_15,,,,0.856348404,,,
dstc6_00276,S_16,,,,0.930729922,,,
dstc6_00277,S_17,,,,0.930729922,,,
dstc6_00278,S_18,,,,0.927929608,,,
dstc6_00279,S_19,,,,0.939952882,,,
dstc6_00280,S_00,,,,0.763518937,,,
dstc6_00281,S_01,,,,0.927869574,,,
dstc6_00282,S_02,,,,0.927869574,,,
dstc6_00283,S_03,,,,0.947656062,,,
dstc6_00284,S_04,,,,0.674276878,,,
dstc6_00285,S_05,,,,0.973054022,,,
dstc6_00286,S_06,,,,0.947656062,,,
dstc6_00287,S_07,,,,0.779010248,,,
dstc6_00288,S_08,,,,0.785653336,,,
dstc6_00289,S_09,,,,0.969041213,,,
dstc6_00290,S_10,,,,0.969041213,,,
dstc6_00291,S_11,,,,0.860231242,,,
dstc6_00292,S_12,,,,0.98313024,,,
dstc6_00293,S_13,,,,0.927869574,,,
dstc6_00294,S_14,,,,0.874750362,,,
dstc6_00295,S_15,,,,0.977432287,,,
dstc6_00296,S_16,,,,0.959131075,,,
dstc6_00297,S_17,,,,0.570184444,,,
dstc6_00298,S_18,,,,0.703124617,,,
dstc6_00299,S_19,,,,0.973054022,,,
dstc6_00300,S_00,,,,0.771747957,,,
dstc6_00301,S_01,,,,0.732667787,,,
dstc6_00302,S_02,,,,0.968785631,,,
dstc6_00303,S_03,,,,0.986555953,,,
dstc6_00304,S_04,,,,0.980296935,,,
dstc6_00305,S_05,,,,0.951243354,,,
dstc6_00306,S_06,,,,0.986555953,,,
dstc6_00307,S_07,,,,0.950151863,,,
dstc6_00308,S_08,,,,0.736958333,,,
dstc6_00309,S_09,,,,0.685445683,,,
dstc6_00310,S_10,,,,0.887764066,,,
dstc6_00311,S_11,,,,0.957178518,,,
dstc6_00312,S_12,,,,0.940216863,,,
dstc6_00313,S_13,,,,0.677457349,,,
dstc6_00314,S_14,,,,0.948719202,,,
dstc6_00315,S_15,,,,0.967886935,,,
dstc6_00316,S_16,,,,0.966516159,,,
dstc6_00317,S_17,,,,0.966516159,,,
dstc6_00318,S_18,,,,0.967886935,,,
dstc6_00319,S_19,,,,0.949405557,,,
dstc6_00320,S_00,,,,0.728642621,,,
dstc6_00321,S_01,,,,0.721227461,,,
dstc6_00322,S_02,,,,0.7114098,,,
dstc6_00323,S_03,,,,0.776104992,,,
dstc6_00324,S_04,,,,0.68793622,,,
dstc6_00325,S_05,,,,0.734504548,,,
dstc6_00326,S_06,,,,0.776104992,,,
dstc6_00327,S_07,,,,0.718302745,,,
dstc6_00328,S_08,,,,0.706009423,,,
dstc6_00329,S_09,,,,0.758708777,,,
dstc6_00330,S_10,,,,0.692862089,,,
dstc6_00331,S_11,,,,0.891356294,,,
dstc6_00332,S_12,,,,0.774357664,,,
dstc6_00333,S_13,,,,0.702379327,,,
dstc6_00334,S_14,,,,0.942089952,,,
dstc6_00335,S_15,,,,0.944279387,,,
dstc6_00336,S_16,,,,0.926458891,,,
dstc6_00337,S_17,,,,0.944279387,,,
dstc6_00338,S_18,,,,0.877277003,,,
dstc6_00339,S_19,,,,0.683156038,,,
dstc6_00340,S_00,,,,0.811817936,,,
dstc6_00341,S_01,,,,0.677761662,,,
dstc6_00342,S_02,,,,0.705533335,,,
dstc6_00343,S_03,,,,0.878512864,,,
dstc6_00344,S_04,,,,0.670150427,,,
dstc6_00345,S_05,,,,0.686148643,,,
dstc6_00346,S_06,,,,0.878512864,,,
dstc6_00347,S_07,,,,0.680666459,,,
dstc6_00348,S_08,,,,0.677761662,,,
dstc6_00349,S_09,,,,0.68815353,,,
dstc6_00350,S_10,,,,0.691307044,,,
dstc6_00351,S_11,,,,0.804862356,,,
dstc6_00352,S_12,,,,0.830901154,,,
dstc6_00353,S_13,,,,0.868860587,,,
dstc6_00354,S_14,,,,0.829692895,,,
dstc6_00355,S_15,,,,0.890040863,,,
dstc6_00356,S_16,,,,0.829692895,,,
dstc6_00357,S_17,,,,0.829692895,,,
dstc6_00358,S_18,,,,0.890040863,,,
dstc6_00359,S_19,,,,0.683156038,,,
dstc6_00360,S_00,,,,0.695959531,,,
dstc6_00361,S_01,,,,0.896759557,,,
dstc6_00362,S_02,,,,0.906235355,,,
dstc6_00363,S_03,,,,0.703678921,,,
dstc6_00364,S_04,,,,0.659747912,,,
dstc6_00365,S_05,,,,0.854461475,,,
dstc6_00366,S_06,,,,0.703678921,,,
dstc6_00367,S_07,,,,0.671576516,,,
dstc6_00368,S_08,,,,0.896759557,,,
dstc6_00369,S_09,,,,0.68125955,,,
dstc6_00370,S_10,,,,0.681346115,,,
dstc6_00371,S_11,,,,0.942441369,,,
dstc6_00372,S_12,,,,0.732995434,,,
