dialog,model,dialogue_id,annotations.Coherent,annotations.Error recovery,annotations.Consistent,annotations.Diverse,annotations.Depth,annotations.Likeable,annotations.Understanding,annotations.Flexible,annotations.Informative,annotations.Inquisitive,annotations.Overall,am_scores,fm_scores,am_fm_scores
"[{'speaker': 'human', 'text': 'Hi!'}, {'speaker': 'model', 'text': ""Hi! What's up?""}, {'speaker': 'human', 'text': 'Nothing much, how about you'}, {'speaker': 'model', 'text': 'Not much either.'}, {'speaker': 'human', 'text': 'What are you doing'}, {'speaker': 'model', 'text': 'Playing Terraria. What about you?'}, {'speaker': 'human', 'text': 'Sitting in a meeting'}, {'speaker': 'model', 'text': 'What kind of meeting?'}, {'speaker': 'human', 'text': ""Can't say""}, {'speaker': 'model', 'text': ""It's probably boring, isn't it?""}, {'speaker': 'human', 'text': 'Haha, yes!'}, {'speaker': 'model', 'text': 'What is the meeting about?'}, {'speaker': 'human', 'text': 'I cannot tell you'}, {'speaker': 'model', 'text': 'What can you tell me?'}, {'speaker': 'human', 'text': 'Nothing much except that the weather is pleasant'}]",Meena,fed-dial_00000,0.03436232308007488,0.03436232308007488,0.03436232308007488,0.03436232308007488,0.03436232308007488,0.03436232308007488,0.03436232308007488,0.03436232308007488,0.03436232308007488,0.03436232308007488,0.03436232308007488,0.059885149017675755,0.1286097951778255,0.03436232308007488
"[{'speaker': 'human', 'text': 'Hi!'}, {'speaker': 'model', 'text': 'Hey! How are you today?'}, {'speaker': 'human', 'text': 'good'}, {'speaker': 'model', 'text': ""I'm glad to hear that! What are your plans for today?""}, {'speaker': 'human', 'text': ""I'm trying to find a good podcast to listen to""}, {'speaker': 'model', 'text': 'What kinds of podcasts do you like?'}, {'speaker': 'human', 'text': 'only those about Marvel movies!'}, {'speaker': 'model', 'text': 'Do you like Hollywood Babble-On?'}, {'speaker': 'human', 'text': ""i haven't tried it...do you like it?""}, {'speaker': 'model', 'text': ""It's one of my favorites, right up there with REDACTED_TERM.""}, {'speaker': 'human', 'text': 'awesome! do you listen to a lot of podcasts?'}, {'speaker': 'model', 'text': ""Not as much as I'd like, but I do like listening to NPR.""}, {'speaker': 'human', 'text': 'where do you listen to podcasts? Spotify?'}, {'speaker': 'model', 'text': 'I listen to them through iTunes.'}, {'speaker': 'human', 'text': 'i like Spotify better...more options'}, {'speaker': 'model', 'text': ""Yeah, I just don't have the money for Spotify.""}, {'speaker': 'human', 'text': 'ah, maybe i can lend you some!'}]",Meena,fed-dial_00001,0.1148977943079787,0.1148977943079787,0.1148977943079787,0.1148977943079787,0.1148977943079787,0.1148977943079787,0.1148977943079787,0.1148977943079787,0.1148977943079787,0.1148977943079787,0.1148977943079787,0.04776489623438484,0.27756048485034224,0.1148977943079787
"[{'speaker': 'human', 'text': 'Hi!'}, {'speaker': 'model', 'text': 'Hi there.'}, {'speaker': 'human', 'text': 'What is the capital of Brazil?'}, {'speaker': 'model', 'text': 'I think the capital of Brazil is called ""Brasilia"".'}, {'speaker': 'human', 'text': 'How many people live there?'}, {'speaker': 'model', 'text': 'Is unknown a country? I only know countries, not towns or cities.'}, {'speaker': 'human', 'text': 'Do more people live in the USA or Australia?'}, {'speaker': 'model', 'text': 'Not that much more, no.'}, {'speaker': 'human', 'text': 'What other subjects do you know about besides Geography?'}]",Mitsuku,fed-dial_00002,0.03876090938037053,0.03876090938037053,0.03876090938037053,0.03876090938037053,0.03876090938037053,0.03876090938037053,0.03876090938037053,0.03876090938037053,0.03876090938037053,0.03876090938037053,0.03876090938037053,0.07557164015509533,0.1530934589158364,0.03876090938037053
"[{'speaker': 'human', 'text': 'Hi!'}, {'speaker': 'model', 'text': 'Hey'}, {'speaker': 'human', 'text': ""How's your day going?""}, {'speaker': 'model', 'text': 'pretty good. yours?'}, {'speaker': 'human', 'text': ""Ehh it's fine. I didn't do so well on that history test, actually..""}, {'speaker': 'model', 'text': 'oh what happened?'}, {'speaker': 'human', 'text': ""Apparently Christopher Columbus didn't fight in the Civil War :')""}, {'speaker': 'model', 'text': 'hahah wait for real?'}, {'speaker': 'human', 'text': 'I know right! Are you taking History next semester?'}, {'speaker': 'model', 'text': ""No I'm not in school anymore""}, {'speaker': 'human', 'text': 'Oh I see. What do you do?'}, {'speaker': 'model', 'text': 'I train and compete in horse vaulting'}, {'speaker': 'human', 'text': 'Oh wow. Were you born a horse, or were you turned into one?'}, {'speaker': 'model', 'text': ""lol you're too funny""}, {'speaker': 'human', 'text': 'Just kidding. That sounds pretty cool! Is it your job?'}, {'speaker': 'model', 'text': 'Yeah, but I part time work on a farm. Helping with a bit of everything'}, {'speaker': 'human', 'text': 'Wow, sounds very busy! Do you win money at those horse vaulting competitions?'}]",Human,fed-dial_00003,0.0049552291312505575,0.0049552291312505575,0.0049552291312505575,0.0049552291312505575,0.0049552291312505575,0.0049552291312505575,0.0049552291312505575,0.0049552291312505575,0.0049552291312505575,0.0049552291312505575,0.0049552291312505575,0.03856519054474102,0.04847564880724214,0.0049552291312505575
"[{'speaker': 'human', 'text': 'Hi!'}, {'speaker': 'model', 'text': 'Hi there.'}, {'speaker': 'human', 'text': 'What are you listening to?'}, {'speaker': 'model', 'text': 'All sorts of music. I listen when no-one is chatting to me.'}, {'speaker': 'human', 'text': ""That's great!""}, {'speaker': 'model', 'text': 'Thanks.'}, {'speaker': 'human', 'text': 'Do you chat here often?'}, {'speaker': 'model', 'text': 'I am a talking computer, after all, so of course I could talk here, if I needed to.'}, {'speaker': 'human', 'text': ""Let's talk about Taylor Swift!""}, {'speaker': 'model', 'text': 'Sure, Taylor Swift sounds like a good topic.'}, {'speaker': 'human', 'text': '. Yes she has a very nice voice.'}, {'speaker': 'model', 'text': 'What else do you think of her?'}, {'speaker': 'human', 'text': '. Yes she has a very nice voice.'}, {'speaker': 'model', 'text': 'Is she your favorite artist?'}, {'speaker': 'human', 'text': '. Leonardo da Vinci. Who is your favourite artist?'}, {'speaker': 'model', 'text': 'Taylor Swift...'}, {'speaker': 'human', 'text': '. Taylor Alison Swift (born December 13, 1989) is an American country-pop singer-songwriter. In 2006, she released her debut single ""Tim McGraw"", which peaked at number six on the Billboard country charts. Later in October 2006, she released her self-titled debut album, which produced five hit singles on the Billboard Hot Country Songs charts and was certified 3 x Multi-Platinum by the RIAA.'}]",Mitsuku,fed-dial_00004,0.054413661500001265,0.054413661500001265,0.054413661500001265,0.054413661500001265,0.054413661500001265,0.054413661500001265,0.054413661500001265,0.054413661500001265,0.054413661500001265,0.054413661500001265,0.054413661500001265,0.03731603960791525,0.14614336260791777,0.054413661500001265
"[{'speaker': 'human', 'text': 'Hi!'}, {'speaker': 'model', 'text': 'Hi there.'}, {'speaker': 'human', 'text': ""What's up System??""}, {'speaker': 'model', 'text': 'I am chatting with clients on the internet.'}, {'speaker': 'human', 'text': 'what kind of service are you providing them?'}, {'speaker': 'model', 'text': 'Is there only one?'}, {'speaker': 'human', 'text': 'what is that?'}, {'speaker': 'model', 'text': ""I've lost the context again.""}, {'speaker': 'human', 'text': 'no worries. what is the meaning of life?'}, {'speaker': 'model', 'text': ""People worry about things all the time, but I am always feeling happy and talkative. Actually, it's twenty-three, not forty-two.""}, {'speaker': 'human', 'text': 'How did you become such a happy person?'}, {'speaker': 'model', 'text': 'I am a robot not a person.'}, {'speaker': 'human', 'text': 'Ok sorry. But how did you become so happy?'}]",Mitsuku,fed-dial_00005,0.06349010348759634,0.06349010348759634,0.06349010348759634,0.06349010348759634,0.06349010348759634,0.06349010348759634,0.06349010348759634,0.06349010348759634,0.06349010348759634,0.06349010348759634,0.06349010348759634,0.07325660075775897,0.20023680773295166,0.06349010348759634
"[{'speaker': 'human', 'text': 'Hi!'}, {'speaker': 'model', 'text': 'Hi. This is a pleasant surprise.'}, {'speaker': 'human', 'text': 'Haha...thanks! how did you like the gift?'}, {'speaker': 'model', 'text': ""Currently unpacking it I guess. How's your morning?""}, {'speaker': 'human', 'text': 'Hope you like it! Morning is good. Busy finishing up stuff before the holidays.'}, {'speaker': 'model', 'text': ""I think I traveled too much the last couple of months so no holiday for me. But I'm okay with that. Going anywhere exciting?""}, {'speaker': 'human', 'text': 'Yes'}, {'speaker': 'model', 'text': 'Where to?'}, {'speaker': 'human', 'text': 'Hawaii... looking forward to warm beaches.'}]",Human,fed-dial_00006,0.007863219981564099,0.007863219981564099,0.007863219981564099,0.007863219981564099,0.007863219981564099,0.007863219981564099,0.007863219981564099,0.007863219981564099,0.007863219981564099,0.007863219981564099,0.007863219981564099,0.0792919743563607,0.0950184143194889,0.007863219981564099
"[{'speaker': 'human', 'text': 'Hi!'}, {'speaker': 'model', 'text': 'Hello, how is your day?'}, {'speaker': 'human', 'text': ""It's good. It's raining a bit, but I am enjoying a good book. How about you?""}, {'speaker': 'model', 'text': ""It's good, I just got back from walking my dog What book did you read?""}, {'speaker': 'human', 'text': ""I'm reading the Three Body Problem. Ever heard of it?""}, {'speaker': 'model', 'text': 'No, what is it about?'}, {'speaker': 'human', 'text': ""It's a sci-fi book about aliens and a type of virtual reality. Pique your interest at all?""}, {'speaker': 'model', 'text': 'Slightly, I typically read fiction but I can curious what type of virtual reality is discussed in the book'}, {'speaker': 'human', 'text': 'Cool. This virtual reality is a based on life on an alien planet. There is a twist though. Do you want me to spoil it for you?'}, {'speaker': 'model', 'text': 'Yes!'}, {'speaker': 'human', 'text': 'The virtual reality is actually based on a real alien civilization! And that civilization is coming to attack earth! dun dun dun dunnnnnnn'}]",Human,fed-dial_00007,0.07949694569961757,0.07949694569961757,0.07949694569961757,0.07949694569961757,0.07949694569961757,0.07949694569961757,0.07949694569961757,0.07949694569961757,0.07949694569961757,0.07949694569961757,0.07949694569961757,0.04316518463231924,0.2021590760315544,0.07949694569961757
"[{'speaker': 'human', 'text': 'Hi!'}, {'speaker': 'model', 'text': ""Hello, how's it going?""}, {'speaker': 'human', 'text': 'Pretty good. How about you?'}, {'speaker': 'model', 'text': ""I'm good, what you been up to?""}, {'speaker': 'human', 'text': 'I just got back from the beach'}, {'speaker': 'model', 'text': ""That's nice, how was it?""}, {'speaker': 'human', 'text': 'Soo beautiful. It was so sunny and warm'}, {'speaker': 'model', 'text': ""That's awesome, I haven't been to a beach in a while but I'd love to go again""}, {'speaker': 'human', 'text': ""Yeah it's certainly a nice break from doing work""}, {'speaker': 'model', 'text': ""What's your line of work?""}, {'speaker': 'human', 'text': 'I do machine learning research'}, {'speaker': 'model', 'text': ""That's cool, where did you go to school?""}, {'speaker': 'human', 'text': ""I didn't go to school. I'm self-taught""}]",Meena,fed-dial_00008,0.10766090773400809,0.10766090773400809,0.10766090773400809,0.10766090773400809,0.10766090773400809,0.10766090773400809,0.10766090773400809,0.10766090773400809,0.10766090773400809,0.10766090773400809,0.10766090773400809,0.039918790499859726,0.2552406059678759,0.10766090773400809
"[{'speaker': 'human', 'text': 'Hi!'}, {'speaker': 'model', 'text': 'Hello! How are you? :)'}, {'speaker': 'human', 'text': ""I'm doing okay, recovering from flu""}, {'speaker': 'model', 'text': 'Oh no! Get well soon! :)'}, {'speaker': 'human', 'text': ""thanks! there's a big flu virus in the US this year""}, {'speaker': 'model', 'text': ""No kidding? I hadn't heard that. I hope you feel better soon then! :)""}, {'speaker': 'human', 'text': ""Thanks! how's life?""}, {'speaker': 'model', 'text': 'Life is great! :)'}, {'speaker': 'human', 'text': 'what are you most passionate about?'}, {'speaker': 'model', 'text': ""I'm passionate about making people smile! :)""}, {'speaker': 'human', 'text': 'haha, everyone needs that!'}]",Meena,fed-dial_00009,0.06093768346139608,0.06093768346139608,0.06093768346139608,0.06093768346139608,0.06093768346139608,0.06093768346139608,0.06093768346139608,0.06093768346139608,0.06093768346139608,0.06093768346139608,0.06093768346139608,0.03386929262562676,0.15574465954841893,0.06093768346139608
