context,dialogue_id,model_name,response,annotations.relevance,am_scores,fm_scores,am_fm_scores
"i enjoy a great meal , but usually just eat when there is nothing else to do . haha
yeah that is cool , what is your favorite color ?",convai2-grade_00000,bert_ranker,"the sky , hey what about your eyes ? are they blue ?",0.173551014091558,0.1135176677444814,0.23358436043863456,0.173551014091558
"hi how are you tonight ?
i am worn out from work today . how are you ?",convai2-grade_00001,bert_ranker,i feel you . i played football right after school so i always was a bit tired .,0.18483483221988184,0.021982036561035118,0.34768762787872853,0.18483483221988184
"anywhere with delicious food . i am a big foodie , although i am a lousy cook .
what kind of foods do you enjoy ? i love cooking but never do it",convai2-grade_00002,bert_ranker,i hate it ! i do enjoy grilling though,0.23458408301356845,0.11460649805721197,0.35456166796992494,0.23458408301356845
"perfect . i don't , but my wife and kids would love a dog .
dogs always chase my cats . i prefer cats .",convai2-grade_00003,bert_ranker,"they are cute , but they are meowing for my tacos , my favorite food !",0.2535719268529588,0.10086685655473646,0.4062769971511812,0.2535719268529588
"i hope that i can find a new doctor job soon !
my parents aren't supportive of my dream as a custodian",convai2-grade_00004,bert_ranker,that is no fun . both of my high school aged sons want to be doctors !,0.213982609733107,0.05549352591361769,0.37247169355259635,0.213982609733107
"yes i do i've a dog and 2 cats at the moment
i've one dog myself , she can be a bit of pain",convai2-grade_00005,bert_ranker,i'm in college and work with blind children . some dogs can be trained to help .,0.13255001324911042,0.08187476099472507,0.1832252655034958,0.13255001324911042
"me too . should i trade my mini van in for a sports car .
yes . who doesn't love a sports car .",convai2-grade_00006,bert_ranker,why not ? i live for nice cars to be honest,0.2020174060654054,0.1095797314467725,0.2944550806840383,0.2020174060654054
"when i retire in few years i will travel all over the country to nascar races .
cool ! wonder woman and i both love the color grey . you like scorpions ?",convai2-grade_00007,bert_ranker,i love them . that's why i dream of moving to the desert .,0.24804509723936174,0.027768824012781374,0.46832137046594213,0.24804509723936174
"i have to drink another substance that contains particles of hydrogen and oxygen
dang that kinda weird . well do you have a pet",convai2-grade_00008,bert_ranker,no . i do not get along with anyone even pets,0.22520416505770202,0.11675096088014872,0.3336573692352553,0.22520416505770202
"that must be interesting . i don't have time outside of house building to do much
that is fine , do you like death metal music ?",convai2-grade_00009,bert_ranker,"i do ! i work in a casino as a blackjack dealer , we have live bands",0.2508879924169722,0.06848366041246226,0.43329232442148213,0.2508879924169722
"west virginia . nice to meet you too . i used to visit my uncle on long island
what do you do for work ?",convai2-grade_00010,bert_ranker,dude i start senior year next week . almost done ! you ?,0.1272821276079408,0.11233162043954273,0.14223263477633888,0.1272821276079408
"oh very cool . i go on twitch for my pot farm updates .
pot farm updates ? like a real pot farm ?",convai2-grade_00011,bert_ranker,naw . its just my family farm . i do not need more than one . lol,0.21880411702235994,0.06555058775125087,0.372057646293469,0.21880411702235994
"yes well i love disney musicals .
i like the movie tangled a lot , but frozen is nice too",convai2-grade_00012,bert_ranker,disney rocks . i'm married and love movies,0.06590506292715485,0.09971256680058578,0.032097559053723926,0.06590506292715485
"yeah i am interested in taking pictures , of yoda for sure
wow . i try coffee as a hobby",convai2-grade_00013,bert_ranker,really ? you funny ! only time i pass on coffee is when i travel by myself .,0.17371435086741704,0.09496679330392108,0.252461908430913,0.17371435086741704
"do you live in the southwest by chance ?
no i do not . i love wearing band shirts with ruffles on the sleeves",convai2-grade_00014,bert_ranker,fun ! ! i love band shirts ! so does my labrador bongo,0.1737927355644083,0.0969958919627709,0.2505895791660457,0.1737927355644083
