context,dialogue_id,model_name,response,annotations.relevance,am_scores,fm_scores,am_fm_scores
"yes , that's my only day off until Thursday .
ok , well , my friends and I are planning on going to the beach on Sunday . We tend to leave around noon whenever we go anywhere , so you could still sleep in . Do you want to come with us ?",dailydialog-grade_00000,transformer_generator,ok . I ' ll be there in the afternoon .,0.2827162999149325,0.08303666146610057,0.48239593836376443,0.2827162999149325
"Hello , 332440 .
Oh hello , Sally . This is Dave Thomson here . Could I speak to Jim please ?",dailydialog-grade_00001,transformer_generator,"This is Jim , please .",0.18868656587211435,0.13858303039799608,0.23879010134623263,0.18868656587211435
"If only our company prescribe flex time .
The board has been considering introducing flex time .",dailydialog-grade_00002,transformer_generator,"But it ' s not a very high - worker , but it ' s not a very high - time job .",0.22387109266696037,0.00803430945625388,0.43970787587766685,0.22387109266696037
"Thank you so much . Does he read his e-mails daily ?
Yes . He usually replies immediately .",dailydialog-grade_00003,transformer_generator,"Oh , he ' s a man of the first person . He ' s a successful successful successful man .",0.24799437913325265,0.12260422223538109,0.3733845360311242,0.24799437913325265
"I'll take a little milk , but no sugar , please . Make sure you let the tea steep a few minutes before you take the tea bag out of the cup .
Ok . What do you think about our living room ?",dailydialog-grade_00004,transformer_generator,It ' s a very good idea .,0.2787526444961038,0.11871432712007107,0.4387909618721366,0.2787526444961038
"I want to take a look at that home with the Open House flags out front .
What a wonderful neighborhood ! Can you find that house on our Open House list ?",dailydialog-grade_00005,transformer_generator,I am sorry I can ' t go there .,0.2475524241763137,0.06420713385636466,0.43089771449626274,0.2475524241763137
"Take it easy . We are going to have our own baby . You should be happy .
Yeah , I know .",dailydialog-grade_00006,transformer_generator,"Well , you know .",0.25893824187577114,0.14334558145119738,0.3745309023003449,0.25893824187577114
"Wow ! Your calligraphy is very beautiful . It was worth the wait !
Thank you . Today I'm writing a kind of poem called a Chinese couplet .",dailydialog-grade_00007,transformer_generator,It ' s so bad .,0.2334291096984957,0.060839357270138505,0.4060188621268529,0.2334291096984957
"Anything wrong with it ?
Yes . When I spread it out back home , I found this hole .",dailydialog-grade_00008,transformer_generator,How do you think it is ?,0.32389885324846124,0.09171217311180035,0.5560855333851221,0.32389885324846124
"The service did not help the situation .
Is this a restaurant that you want to come back to ?",dailydialog-grade_00009,transformer_generator,I am afraid I can ' t make it .,0.25330005089360796,0.07699451872072405,0.42960558306649194,0.25330005089360796
"Well , there will be charity performance on Saturday night . And also , there will be a solo concert by an opera star on Sunday night .
It's a good thing that I have choices here . Can you tell me about the one on Saturday ?",dailydialog-grade_00010,transformer_generator,"Sure , let ' s go to the concert with a night .",0.22775528641949352,0.10006122510387687,0.35544934773511017,0.22775528641949352
