context,dialogue_id,model_name,response,annotations.relevance,am_scores,fm_scores,am_fm_scores
"Someone let me cut in line at the store so I could check out faster.
wow that was really nice of them",empathetic-grade_00000,transformer_generator,thats cool,0.11722730431331166,0.14660701200918222,0.08784759661744108,0.11722730431331166
"My sunday was great. All my chores were done ahead of time. It was a rare and welcomed day.
that is awesome. sundays are usually my veg out days.",empathetic-grade_00001,transformer_generator,oh thats cool,0.21975436979377722,0.160712009772276,0.2787967298152784,0.21975436979377722
"Well, it takes perseverance and a bit of luck, but you can do it!
My dream job is being born rich. Its too late for that",empathetic-grade_00002,transformer_generator,thats cool,0.046815679701528085,0.09363135940305617,0.0,0.046815679701528085
"I always feel like no one hears me. Like When I speak it falls on deaf ears.
That sucks. Maybe it's time to get new friends?",empathetic-grade_00003,transformer_generator,That ' s cool . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.4900472164725248,0.0,0.9800944329450496,0.4900472164725248
"As I look at my 21 year old son, I often reflect on when he was smaller. Time really flies!
Time sure does fly and change is inevitable",empathetic-grade_00004,transformer_generator,thats cool,0.15790274494270315,0.04293320991472867,0.27287227997067764,0.15790274494270315
"I was excited when I bought my car
that is exciting! what kind of car?",empathetic-grade_00005,transformer_generator,oh wow that ' s cool . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.49010224612435477,0.0,0.9802044922487095,0.49010224612435477
"A dog chased me through a street the other day
did he catch you?",empathetic-grade_00006,transformer_generator,oh thats cool,0.2165199867651698,0.16283701500165132,0.27020295852868825,0.2165199867651698
"A year ago, I found an injured baby kitten in the road while driving.
Oh no! Did you take the kitten to an animal hospital or care for it yourself?",empathetic-grade_00007,transformer_generator,oh wow that ' s so sweet ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,0.4897897216659779,0.0,0.9795794433319558,0.4897897216659779
"Omg! That is terrible. They should really be considerate of people's time
I wouldn't have minded as much if he actually seemed to care.  If they make you wait and then spend alot of time with you that is one thing",empathetic-grade_00008,transformer_generator,thats a good thing to do,0.364750678264401,0.056786435173915725,0.6727149213548863,0.364750678264401
"I was planning my wedding and trying to get a caterer.  The one we were looking at was completely ignoring every time my wife tried to communicate with them, to the point where I told them off and went with someone else.
Sounds like you made the right decision.  What a bunch of A-holes",empathetic-grade_00009,transformer_generator,oh thats cool,0.19842140920899304,0.14500487825268787,0.2518379401652982,0.19842140920899304
