context,dialogue_id,model,reference,response,annotations.overall,am_scores,fm_scores,am_fm_scores
"excuse me . i have an appointment with mr . li at nine . may i come in ?
yes , come in please . i am mr . li . you must be my liu , right ?
yes , i am my liu . thanks .
i 'd like to start this interview with some questions . why do you think you are qualified for this position ?
according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position .",dailydialog-gupta_00000,human,"['okay . what experience do you have ?', 'how many years of software engineering do you have ?', 'did you bring a resume ?', 'then tell me something about your background .']",great . why did you become a software engineer ?,0.9545739851391475,0.9673866,0.9417613669228871,0.9545739851391475
"excuse me . i have an appointment with mr . li at nine . may i come in ?
yes , come in please . i am mr . li . you must be my liu , right ?
yes , i am my liu . thanks .
i 'd like to start this interview with some questions . why do you think you are qualified for this position ?
according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position .",dailydialog-gupta_00001,hredf,"['okay . what experience do you have ?', 'how many years of software engineering do you have ?', 'did you bring a resume ?', 'then tell me something about your background .']","well , i see .",0.8997898427897796,0.9227838,0.8767958935606688,0.8997898427897796
"excuse me . i have an appointment with mr . li at nine . may i come in ?
yes , come in please . i am mr . li . you must be my liu , right ?
yes , i am my liu . thanks .
i 'd like to start this interview with some questions . why do you think you are qualified for this position ?
according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position .",dailydialog-gupta_00002,seq2seqf,"['okay . what experience do you have ?', 'how many years of software engineering do you have ?', 'did you bring a resume ?', 'then tell me something about your background .']",what kind of job are you interested in ?,0.8788235364611858,0.9642719,0.7933751698843468,0.8788235364611858
"excuse me . i have an appointment with mr . li at nine . may i come in ?
yes , come in please . i am mr . li . you must be my liu , right ?
yes , i am my liu . thanks .
i 'd like to start this interview with some questions . why do you think you are qualified for this position ?
according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position .",dailydialog-gupta_00003,CVAEf,"['okay . what experience do you have ?', 'how many years of software engineering do you have ?', 'did you bring a resume ?', 'then tell me something about your background .']",that is great . would you mind changing your company and typing ?,0.9726602346139199,0.94854355,0.9967769206438555,0.9726602346139199
"excuse me . i have an appointment with mr . li at nine . may i come in ?
yes , come in please . i am mr . li . you must be my liu , right ?
yes , i am my liu . thanks .
i 'd like to start this interview with some questions . why do you think you are qualified for this position ?
according to your advertisement , you want an experienced software engineer . i think my background meets the requirement of this position .",dailydialog-gupta_00004,dualencoder_train,"['okay . what experience do you have ?', 'how many years of software engineering do you have ?', 'did you bring a resume ?', 'then tell me something about your background .']",i 'm very surprised to hear you say that . i think our price is very favorable . you can hardly get such an attractive price from other suppliers .,0.9027072146035215,0.8967341,0.9086803107454342,0.9027072146035215
"what would you like to eat , sir ?
scrambled egg , bacon , three pieces of bread and a cup of tea .",dailydialog-gupta_00005,hredf,"['sounds great !', 'coming right up !', 'perfect ! anything eles', 'would you care for some lemon for your tea ?']",would you like anything to drink ?,0.9626626057650165,0.92948693,0.9958382811597023,0.9626626057650165
"what would you like to eat , sir ?
scrambled egg , bacon , three pieces of bread and a cup of tea .",dailydialog-gupta_00006,CVAEf,"['sounds great !', 'coming right up !', 'perfect ! anything eles', 'would you care for some lemon for your tea ?']",would you like coffee or coffee ?,0.9747000009924155,0.9508456,0.9985544028103315,0.9747000009924155
"what would you like to eat , sir ?
scrambled egg , bacon , three pieces of bread and a cup of tea .",dailydialog-gupta_00007,human,"['sounds great !', 'coming right up !', 'perfect ! anything eles', 'would you care for some lemon for your tea ?']","that 's a great choice , i 'll let the kitchen know right away .",0.9091678981553624,0.8972378,0.9210980186007637,0.9091678981553624
"what would you like to eat , sir ?
scrambled egg , bacon , three pieces of bread and a cup of tea .",dailydialog-gupta_00008,dualencoder_train,"['sounds great !', 'coming right up !', 'perfect ! anything eles', 'would you care for some lemon for your tea ?']",what would you like for appetizer and dinner ?,0.9299461204277912,0.941582,0.9183102167581398,0.9299461204277912
"what would you like to eat , sir ?
scrambled egg , bacon , three pieces of bread and a cup of tea .",dailydialog-gupta_00009,seq2seqf,"['sounds great !', 'coming right up !', 'perfect ! anything eles', 'would you care for some lemon for your tea ?']",what kind of food do you like ?,0.8066023013289045,0.95763427,0.6555703324666166,0.8066023013289045
"how do you get road news ?
i 've a driver mate in my car !",dailydialog-gupta_00010,dualencoder_train,"[""that 's so cool .   how is it ?"", 'is the driver mate helpful ?', 'will the driver mate allow you to drive hands free ?', 'so you have all the news on broadcast ?']",really ? look at the toe of this shoe . it is worn out .,0.949793052010282,0.911105,0.988481126889674,0.949793052010282
"how do you get road news ?
i 've a driver mate in my car !",dailydialog-gupta_00011,CVAEf,"[""that 's so cool .   how is it ?"", 'is the driver mate helpful ?', 'will the driver mate allow you to drive hands free ?', 'so you have all the news on broadcast ?']",you mean it !,0.8796637212948604,0.9160576,0.8432698559197989,0.8796637212948604
"how do you get road news ?
i 've a driver mate in my car !",dailydialog-gupta_00012,human,"[""that 's so cool .   how is it ?"", 'is the driver mate helpful ?', 'will the driver mate allow you to drive hands free ?', 'so you have all the news on broadcast ?']",that is nice . i want to get one too,0.8962086671703391,0.9081432,0.8842741120086773,0.8962086671703391
"how do you get road news ?
i 've a driver mate in my car !",dailydialog-gupta_00013,hredf,"[""that 's so cool .   how is it ?"", 'is the driver mate helpful ?', 'will the driver mate allow you to drive hands free ?', 'so you have all the news on broadcast ?']","well , i think you can find a car car .",0.9566555221376982,0.91375166,0.9995593824979001,0.9566555221376982
"how do you get road news ?
i 've a driver mate in my car !",dailydialog-gupta_00014,seq2seqf,"[""that 's so cool .   how is it ?"", 'is the driver mate helpful ?', 'will the driver mate allow you to drive hands free ?', 'so you have all the news on broadcast ?']",what 's the problem ?,0.9006025270308242,0.9472879,0.8539171369245024,0.9006025270308242
"nani book store . how can i help you ?
do you have the'the man and the sea'by ernest hemingway ?",dailydialog-gupta_00015,hredf,"['we certainly do , let me find it for you .', ""i 'm not sure , let me look for you ."", ""i 'm sorry but we do n't have any copies of that right now ."", 'yes , we have one copy left .']","yes , i think so .",0.9574503437680671,0.9325564,0.9823442967738052,0.9574503437680671
"nani book store . how can i help you ?
do you have the'the man and the sea'by ernest hemingway ?",dailydialog-gupta_00016,seq2seqf,"['we certainly do , let me find it for you .', ""i 'm not sure , let me look for you ."", ""i 'm sorry but we do n't have any copies of that right now ."", 'yes , we have one copy left .']","yes , it is .",0.8836353601977562,0.90911853,0.8581521872610521,0.8836353601977562
"nani book store . how can i help you ?
do you have the'the man and the sea'by ernest hemingway ?",dailydialog-gupta_00017,human,"['we certainly do , let me find it for you .', ""i 'm not sure , let me look for you ."", ""i 'm sorry but we do n't have any copies of that right now ."", 'yes , we have one copy left .']","yes , we have that book in hardcover , paperback , and digital . we also have it in several editions . is there any particular version of the book you are looking for ?",0.8915656961446001,0.89362407,0.8895073249826818,0.8915656961446001
