context,fact,reference,response,model,dialogue_id,annotations.Understandable,annotations.Natural,annotations.Maintains Context,annotations.Engaging,annotations.Uses Knowledge,annotations.Overall,am_scores,fm_scores,am_fm_scores
"hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy","your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.","[""ha ha i'm so shy""]",i know what you mean spend most nights cuddling my dog and star watching,KV-MemNN,persona-usr_00000,0.7639223166098994,0.7639223166098994,0.7639223166098994,0.7639223166098994,0.7639223166098994,0.7639223166098994,0.90770435,0.6201402798872792,0.7639223166098994
"hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy","your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.","[""ha ha i'm so shy""]",i am a little shy but i am a little shy,Seq2Seq,persona-usr_00001,0.7621261225218766,0.7621261225218766,0.7621261225218766,0.7621261225218766,0.7621261225218766,0.7621261225218766,0.9671504,0.5571018548955904,0.7621261225218766
"hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy","your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.","[""ha ha i'm so shy""]",i am not . i am a student .,Language Model,persona-usr_00002,0.7247312000445232,0.7247312000445232,0.7247312000445232,0.7247312000445232,0.7247312000445232,0.7247312000445232,0.9067265,0.5427359205587119,0.7247312000445232
"hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy","your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.","[""ha ha i'm so shy""]",i only feel comfortable sharing my music with my dogs !,New Human Generated,persona-usr_00003,0.8141308479921923,0.8141308479921923,0.8141308479921923,0.8141308479921923,0.8141308479921923,0.8141308479921923,0.92169183,0.7065698610577794,0.8141308479921923
"hi there how are you doing this evening ?
hi , sitting here with my three dogs watching the olympics !
nice i do not want to go back to work i am a waitress
i love being in a polyamorous open relationship !
iol well i wish i was brave enough to do that
my father was a salesman , helps my dog walking business now
that is nice i've a motorbike don't know what car to get for winter
very very cool . sounds fun
yes i had them put red with blue stripes to be shinny for when racing
so is my dog , wow so cool
so what do you do in your spare time ?
lead singer for a band , music teacher
wow nice are you really good ?
millions of plays on soundcloud
really would you share or are you shy","your persona: i also have a dog walking business.
your persona: i've three dogs.
your persona: my father was a door to door salesman.
your persona: i am in an open polyamorous relationship.
your persona: i like to watch the olympics.
","[""ha ha i'm so shy\n""]",ha ha i'm so shy,Original Ground Truth,persona-usr_00004,0.9922153061972572,0.9922153061972572,0.9922153061972572,0.9922153061972572,0.9922153061972572,0.9922153061972572,0.9999999,0.9844307316038038,0.9922153061972572
"hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.",['chicago has some great places to eat too .'],"i will win , i am telling you . then i will drive my sx into the stars .",KV-MemNN,persona-usr_00005,0.8715994507304083,0.8715994507304083,0.8715994507304083,0.8715994507304083,0.8715994507304083,0.8715994507304083,0.8688489,0.8743499815923476,0.8715994507304083
"hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.",['chicago has some great places to eat too .'],i will try that . i am a bit of a tea person .,Seq2Seq,persona-usr_00006,0.859994238063288,0.859994238063288,0.859994238063288,0.859994238063288,0.859994238063288,0.859994238063288,0.89839345,0.821595023959065,0.859994238063288
"hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.",['chicago has some great places to eat too .'],i do not know what to say .,Language Model,persona-usr_00007,0.8401168536320129,0.8401168536320129,0.8401168536320129,0.8401168536320129,0.8401168536320129,0.8401168536320129,0.87233436,0.8078993461876709,0.8401168536320129
"hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.",['chicago has some great places to eat too .'],maybe i'll take go for a walk and get a burger after .,New Human Generated,persona-usr_00008,0.8627882390620272,0.8627882390620272,0.8627882390620272,0.8627882390620272,0.8627882390620272,0.8627882390620272,0.8805779,0.8449985562566836,0.8627882390620272
"hello there , how are you ?
i am well and you ? in honor of aim i'll ask a s l
45 m chicago in town . just trying to stay away from the bars
i am 37 f tampa . i like my walks on the beach and cheeseburgers in paradise .
funny thing is i came from farm life
i was named after a horse . my boyfriend likes to may nay sounds at me .
sounds like the crazy medicine i take
just do not mix with alcohol or can get crazy around here .
i used to be an alcoholic so no can do
i tend to stick to my water only . soda is worse !
that's what everyone should strive for
as long as i have my french fries !
well everyone can cheat once in a while
of course . now all of this has made me hungry .
you can go for some grub","your persona: i like to take walks.
your persona: i don't drink soda.
your persona: i've a boyfriend.
your persona: i like to eat hamburgers and french fries.
",['chicago has some great places to eat too .\n'],chicago has some great places to eat too .,Original Ground Truth,persona-usr_00009,0.9985578842665579,0.9985578842665579,0.9985578842665579,0.9985578842665579,0.9985578842665579,0.9985578842665579,1.0000002,0.9971155301145368,0.9985578842665579
