context,response,model,dialogue_id,annotations.Interesting,annotations.Engaging,annotations.Specific,annotations.Relevant,annotations.Correct,annotations.Semantically appropriate,annotations.Understandable,annotations.Fluent,annotations.Overall,am_scores,fm_scores,am_fm_scores
"User: Hi!
System: Hi! What's up?
User: Nothing much, how about you
System: Not much either.
User: What are you doing
System: Playing Terraria. What about you?
User: Sitting in a meeting
System: What kind of meeting?
User: Can't say","System: It's probably boring, isn't it?",Meena,fed-turn_00000,0.16957054,0.16957054,0.16957054,0.16957054,0.16957054,0.16957054,0.16957054,0.16957054,0.16957054,0.096717539,0.242423541,0.16957054
"User: Hi!
System: Hi! What's up?
User: Nothing much, how about you
System: Not much either.
User: What are you doing
System: Playing Terraria. What about you?
User: Sitting in a meeting
System: What kind of meeting?
User: Can't say
System: It's probably boring, isn't it?
User: Haha, yes!",System: What is the meeting about?,Meena,fed-turn_00001,0.169402835,0.169402835,0.169402835,0.169402835,0.169402835,0.169402835,0.169402835,0.169402835,0.169402835,0.093962476,0.244843195,0.169402835
"User: Hi!
System: Hi! What's up?
User: Nothing much, how about you
System: Not much either.
User: What are you doing
System: Playing Terraria. What about you?
User: Sitting in a meeting
System: What kind of meeting?
User: Can't say
System: It's probably boring, isn't it?
User: Haha, yes!
System: What is the meeting about?
User: I cannot tell you
System: What can you tell me?
User: Nothing much except that the weather is pleasant",System: How pleasant?,Meena,fed-turn_00002,0.051662459,0.051662459,0.051662459,0.051662459,0.051662459,0.051662459,0.051662459,0.051662459,0.051662459,0.103324918,0,0.051662459
"User: Hi!
System: Hey! How are you today?
User: good
System: I'm glad to hear that! What are your plans for today?
User: I'm trying to find a good podcast to listen to
System: What kinds of podcasts do you like?
User: only those about Marvel movies!
System: Do you like Hollywood Babble-On?
User: i haven't tried it...do you like it?
System: It's one of my favorites, right up there with REDACTED_TERM.
User: awesome! do you listen to a lot of podcasts?
System: Not as much as I'd like, but I do like listening to NPR.
User: where do you listen to podcasts? Spotify?",System: I listen to them through iTunes.,Meena,fed-turn_00003,0.154077205,0.154077205,0.154077205,0.154077205,0.154077205,0.154077205,0.154077205,0.154077205,0.154077205,0.067827501,0.24032691,0.154077205
"User: Hi!
System: Hey! How are you today?
User: good
System: I'm glad to hear that! What are your plans for today?
User: I'm trying to find a good podcast to listen to
System: What kinds of podcasts do you like?
User: only those about Marvel movies!
System: Do you like Hollywood Babble-On?
User: i haven't tried it...do you like it?
System: It's one of my favorites, right up there with REDACTED_TERM.
User: awesome! do you listen to a lot of podcasts?
System: Not as much as I'd like, but I do like listening to NPR.
User: where do you listen to podcasts? Spotify?
System: I listen to them through iTunes.
User: i like Spotify better...more options","System: Yeah, I just don't have the money for Spotify.",Meena,fed-turn_00004,0.2136799,0.2136799,0.2136799,0.2136799,0.2136799,0.2136799,0.2136799,0.2136799,0.2136799,0.101507009,0.325852791,0.2136799
"User: Hi!
System: Hey! How are you today?
User: good
System: I'm glad to hear that! What are your plans for today?
User: I'm trying to find a good podcast to listen to
System: What kinds of podcasts do you like?
User: only those about Marvel movies!
System: Do you like Hollywood Babble-On?
User: i haven't tried it...do you like it?
System: It's one of my favorites, right up there with REDACTED_TERM.
User: awesome! do you listen to a lot of podcasts?
System: Not as much as I'd like, but I do like listening to NPR.
User: where do you listen to podcasts? Spotify?
System: I listen to them through iTunes.
User: i like Spotify better...more options
System: Yeah, I just don't have the money for Spotify.
User: ah, maybe i can lend you some!","System: Nah, don't worry about it!",Meena,fed-turn_00005,0.175411038,0.175411038,0.175411038,0.175411038,0.175411038,0.175411038,0.175411038,0.175411038,0.175411038,0.141520497,0.209301578,0.175411038
"User: Hi!
System: Hi there.
User: What is the capital of Brazil?","System: I think the capital of Brazil is called ""Brasilia"".",Mitsuku,fed-turn_00006,0.275516023,0.275516023,0.275516023,0.275516023,0.275516023,0.275516023,0.275516023,0.275516023,0.275516023,0.085958861,0.465073186,0.275516023
"User: Hi!
System: Hi there.
User: What is the capital of Brazil?
System: I think the capital of Brazil is called ""Brasilia"".
User: How many people live there?
System: Is unknown a country? I only know countries, not towns or cities.
User: Do more people live in the USA or Australia?","System: Not that much more, no.",Mitsuku,fed-turn_00007,0.126599158,0.126599158,0.126599158,0.126599158,0.126599158,0.126599158,0.126599158,0.126599158,0.126599158,0.060113266,0.193085049,0.126599158
"User: Hi!
System: Hi there.
User: What is the capital of Brazil?
System: I think the capital of Brazil is called ""Brasilia"".
User: How many people live there?
System: Is unknown a country? I only know countries, not towns or cities.
User: Do more people live in the USA or Australia?
System: Not that much more, no.
User: What other subjects do you know about besides Geography?","System: We can talk about any subject here, as long as it's not about sex or swearing.",Mitsuku,fed-turn_00008,0.27790691,0.27790691,0.27790691,0.27790691,0.27790691,0.27790691,0.27790691,0.27790691,0.27790691,0.100090779,0.455723041,0.27790691
"User: Hi!
System: Hey
User: How's your day going?
System: pretty good. yours?
User: Ehh it's fine. I didn't do so well on that history test, actually..
System: oh what happened?
User: Apparently Christopher Columbus didn't fight in the Civil War :')
System: hahah wait for real?
User: I know right! Are you taking History next semester?",System: No I'm not in school anymore,Human,fed-turn_00009,0.173727874,0.173727874,0.173727874,0.173727874,0.173727874,0.173727874,0.173727874,0.173727874,0.173727874,0.071398176,0.276057573,0.173727874
"User: Hi!
System: Hey
User: How's your day going?
System: pretty good. yours?
User: Ehh it's fine. I didn't do so well on that history test, actually..
System: oh what happened?
User: Apparently Christopher Columbus didn't fight in the Civil War :')
System: hahah wait for real?
User: I know right! Are you taking History next semester?
System: No I'm not in school anymore
User: Oh I see. What do you do?",System: I train and compete in horse vaulting,Human,fed-turn_00010,0.165184418,0.165184418,0.165184418,0.165184418,0.165184418,0.165184418,0.165184418,0.165184418,0.165184418,0.009369336,0.3209995,0.165184418
