context,dialogue_id,model,reference,response,annotations.appropriateness,am_scores,fm_scores,am_fm_scores
hi how is it going over there ?,persona-zhao_00000,ground-truth,"[""hi i'm doing good . was just reading a book trying to relax .""]",hi i'm doing good . was just reading a book trying to relax .,0.9999998807907104,0.99999976,1.0,0.9999998807907104
hi how is it going over there ?,persona-zhao_00001,GPT2_medium greedy_temp1.0_k0_p0.0,"[""hi i'm doing good . was just reading a book trying to relax .""]",i'm doing well . how about you ?,0.9035132033634317,0.9034402,0.9035862292862201,0.9035132033634317
hi how is it going over there ?,persona-zhao_00002,GPT2_medium sample_temp1.0_k0_p0.0,"[""hi i'm doing good . was just reading a book trying to relax .""]",good . how was your weekend ?,0.9018210241148472,0.8797455,0.923896564831257,0.9018210241148472
hi how is it going over there ?,persona-zhao_00003,HRED_attn greedy_temp1.0_k0_p0.0,"[""hi i'm doing good . was just reading a book trying to relax .""]",hi ! i am good . how are you ?,0.8449721685816032,0.90659034,0.7833539946415388,0.8449721685816032
hi how is it going over there ?,persona-zhao_00004,S2S_attn greedy_temp1.0_k0_p0.0,"[""hi i'm doing good . was just reading a book trying to relax .""]",its going good . just got done with my yoga class .,0.8927900348854283,0.9459467,0.8396333763504465,0.8927900348854283
hi how is it going over there ?,persona-zhao_00005,negative-sample,"[""hi i'm doing good . was just reading a book trying to relax .""]","nice , i'm from colorado",0.8085495144430468,0.88100255,0.736096483529343,0.8085495144430468
"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you",persona-zhao_00006,ground-truth,"['yes , there are several taco spots near me .']","yes , there are several taco spots near me .",0.9999999403953552,0.9999999,1.0,0.9999999403953552
"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you",persona-zhao_00007,GPT2_medium greedy_temp1.0_k0_p0.0,"['yes , there are several taco spots near me .']","i think there are , but i always get the chips with mac and cheese .",0.9305804346729745,0.9395139,0.921646947608278,0.9305804346729745
"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you",persona-zhao_00008,GPT2_medium top_temp1.0_k0_p0.5,"['yes , there are several taco spots near me .']","i think there are , but i get mad when i get a taco and have to go .",0.8717638746607461,0.9195765,0.823951223633321,0.8717638746607461
"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you",persona-zhao_00009,HRED_attn top_temp1.0_k0_p0.5,"['yes , there are several taco spots near me .']","yes , but i think i am in the south and have a family .",0.8528230003058859,0.93819904,0.7674469573378461,0.8528230003058859
"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you",persona-zhao_00010,S2S_attn greedy_temp1.0_k0_p0.0,"['yes , there are several taco spots near me .']",i think so . i have been there for many years .,0.8193976791274528,0.9061524,0.7326429310584028,0.8193976791274528
"what kind of foods do you like
i like all kinds of foods ; american traditional and ethnic .
i love tacos they're my favorite thing to make
after working in a gas station , i even like its food .
yeah it can be good sometimes are there any good taco spots near you",persona-zhao_00011,negative-sample,"['yes , there are several taco spots near me .']",tell her i say thanks ! are you a fan of any professional sports ?,0.9005202820864686,0.88795424,0.913086329096033,0.9005202820864686
"hmm . perhaps i'll buy a farm when i retire . . just a few years . no alcohol !
retiring as a teen ? that is pretty impressive . what do you do ?
i'm sixty ! make a living as a librarian for boston college . you ?
oh , okay . i thought you said 16 . sorry , i see things at times .
ha ha yes . how many meds do you take ?",persona-zhao_00012,ground-truth,"['i take a lot . some days eight , some days twelve .']","i take a lot . some days eight , some days twelve .",1.0000001192092896,1.0000002,1.0,1.0000001192092896
"hmm . perhaps i'll buy a farm when i retire . . just a few years . no alcohol !
retiring as a teen ? that is pretty impressive . what do you do ?
i'm sixty ! make a living as a librarian for boston college . you ?
oh , okay . i thought you said 16 . sorry , i see things at times .
ha ha yes . how many meds do you take ?",persona-zhao_00013,GPT2_medium sample_temp1.0_k0_p0.0,"['i take a lot . some days eight , some days twelve .']",major but mostly just general stuff with some bit of poetry .,0.9162090877745503,0.8796306,0.9527875503011453,0.9162090877745503
"hmm . perhaps i'll buy a farm when i retire . . just a few years . no alcohol !
retiring as a teen ? that is pretty impressive . what do you do ?
i'm sixty ! make a living as a librarian for boston college . you ?
oh , okay . i thought you said 16 . sorry , i see things at times .
ha ha yes . how many meds do you take ?",persona-zhao_00014,GPT2_small top_temp1.0_k0_p0.5,"['i take a lot . some days eight , some days twelve .']",just 2 . 15mg . do you like to read ?,0.8724907699577913,0.8677759,0.8772056228623598,0.8724907699577913
"hmm . perhaps i'll buy a farm when i retire . . just a few years . no alcohol !
retiring as a teen ? that is pretty impressive . what do you do ?
i'm sixty ! make a living as a librarian for boston college . you ?
oh , okay . i thought you said 16 . sorry , i see things at times .
ha ha yes . how many meds do you take ?",persona-zhao_00015,HRED_attn top_temp1.0_k0_p0.5,"['i take a lot . some days eight , some days twelve .']",i have a <unk> . i have to keep my <unk> in the face .,0.9157950884308985,0.8924223,0.93916785840324,0.9157950884308985
"hmm . perhaps i'll buy a farm when i retire . . just a few years . no alcohol !
retiring as a teen ? that is pretty impressive . what do you do ?
i'm sixty ! make a living as a librarian for boston college . you ?
oh , okay . i thought you said 16 . sorry , i see things at times .
ha ha yes . how many meds do you take ?",persona-zhao_00016,S2S_attn sample_temp1.0_k0_p0.0,"['i take a lot . some days eight , some days twelve .']",a few . are you a bad child ?,0.907473519650247,0.88898814,0.9259589020553157,0.907473519650247
"hmm . perhaps i'll buy a farm when i retire . . just a few years . no alcohol !
retiring as a teen ? that is pretty impressive . what do you do ?
i'm sixty ! make a living as a librarian for boston college . you ?
oh , okay . i thought you said 16 . sorry , i see things at times .
ha ha yes . how many meds do you take ?",persona-zhao_00017,negative-sample,"['i take a lot . some days eight , some days twelve .']",sure ! the last time i ran was when i was 13 which was like 10 years ago !,0.764709144507828,0.83829165,0.6911266439656072,0.764709144507828
"that's a good idea ! then i can hang out with my friends more
it is a rewarding job , i teach at an elementary school and that's even more rewarding
yeah seems like it . i just want to have fun though now
i understand that , i spend a lot of my free time practicing photography
i love taking pictures . i do that a lot but i am nowhere near a professional",persona-zhao_00018,ground-truth,"[""i am not either but i'll have my own studio in my new apartment""]",i am not either but i'll have my own studio in my new apartment,1.0,1.0,1.0,1.0
"that's a good idea ! then i can hang out with my friends more
it is a rewarding job , i teach at an elementary school and that's even more rewarding
yeah seems like it . i just want to have fun though now
i understand that , i spend a lot of my free time practicing photography
i love taking pictures . i do that a lot but i am nowhere near a professional",persona-zhao_00019,GPT2_medium top_temp1.0_k0_p0.5,"[""i am not either but i'll have my own studio in my new apartment""]","you should try taking some class , it is very rewarding",0.8963957289441683,0.8766075,0.9161839802233891,0.8963957289441683
"that's a good idea ! then i can hang out with my friends more
it is a rewarding job , i teach at an elementary school and that's even more rewarding
yeah seems like it . i just want to have fun though now
i understand that , i spend a lot of my free time practicing photography
i love taking pictures . i do that a lot but i am nowhere near a professional",persona-zhao_00020,GPT2_small greedy_temp1.0_k0_p0.0,"[""i am not either but i'll have my own studio in my new apartment""]","i am sorry to hear that , i am sure you'll one day",0.8790496511252787,0.8873793,0.8707200135771564,0.8790496511252787
