dialogue_id,model,context,response,reference,annotations.content,annotations.grammar,annotations.relevance,annotations.appropriateness,am_scores,fm_scores,am_fm_scores
dailydialog-zhao_00000,ground-truth,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .","cash , credit card , or debit card ?","['cash , credit card , or debit card ?']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
dailydialog-zhao_00001,GPT2_medium sample_temp1.0_k0_p0.0,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .",do you have address ?,"['cash , credit card , or debit card ?']",0.713887770215073,0.713887770215073,0.713887770215073,0.713887770215073,0.82922447,0.598551073152619,0.713887770215073
dailydialog-zhao_00002,GPT2_medium top_temp1.0_k0_p0.5,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .",here you are .,"['cash , credit card , or debit card ?']",0.7202774538243306,0.7202774538243306,0.7202774538243306,0.7202774538243306,0.77994525,0.6606096533227946,0.7202774538243306
dailydialog-zhao_00003,GPT2_small top_temp1.0_k0_p0.9,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .",i 'm so sorry . i forgot to fill out the form .,"['cash , credit card , or debit card ?']",0.8600475111161014,0.8600475111161014,0.8600475111161014,0.8600475111161014,0.8276051,0.8924898939439337,0.8600475111161014
dailydialog-zhao_00004,HRED_attn sample_temp1.0_k0_p0.0,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .","ok , then . i 'll be back in about 3 minutes .","['cash , credit card , or debit card ?']",0.8883949948354428,0.8883949948354428,0.8883949948354428,0.8883949948354428,0.78261244,0.9941775467006098,0.8883949948354428
dailydialog-zhao_00005,S2S sample_temp1.0_k0_p0.0,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .","ok , thank you .","['cash , credit card , or debit card ?']",0.8004213552928789,0.8004213552928789,0.8004213552928789,0.8004213552928789,0.79019606,0.8106466494514194,0.8004213552928789
dailydialog-zhao_00006,S2S_attn greedy_temp1.0_k0_p0.0,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .",ok .,"['cash , credit card , or debit card ?']",0.6054233791778996,0.6054233791778996,0.6054233791778996,0.6054233791778996,0.77112657,0.43972019003838586,0.6054233791778996
dailydialog-zhao_00007,VHRED_attn greedy_temp1.0_k0_p0.0,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .",ok .,"['cash , credit card , or debit card ?']",0.6054233791778996,0.6054233791778996,0.6054233791778996,0.6054233791778996,0.77112657,0.43972019003838586,0.6054233791778996
dailydialog-zhao_00008,negative-sample,"well , how does it look ?
it 's a perfect fit .
let me pay for it now .",we have binders with local job listings or you can make use of the computers . ok ?,"['cash , credit card , or debit card ?']",0.774426385802851,0.774426385802851,0.774426385802851,0.774426385802851,0.82120407,0.7276487053291516,0.774426385802851
dailydialog-zhao_00009,ground-truth,"can i help you , sir ?
hello , may i make an appointment for sometime early this afternoon ?
i 'm sorry . all the appointments are filled .","oh , what a pity . i 'd like to see the doctor as soon as possible . i have a sharp pain in my chest .","[""oh , what a pity . i 'd like to see the doctor as soon as possible . i have a sharp pain in my chest .""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0
dailydialog-zhao_00010,GPT2_medium sample_temp1.0_k0_p0.0,"can i help you , sir ?
hello , may i make an appointment for sometime early this afternoon ?
i 'm sorry . all the appointments are filled .",then at 1 30 am may i suggest a mon . i 'm afraid we have good direct flights on saturday .,"[""oh , what a pity . i 'd like to see the doctor as soon as possible . i have a sharp pain in my chest .""]",0.774363671846882,0.774363671846882,0.774363671846882,0.774363671846882,0.8707119,0.6780154210481952,0.774363671846882
dailydialog-zhao_00011,GPT2_medium top_temp1.0_k0_p0.5,"can i help you , sir ?
hello , may i make an appointment for sometime early this afternoon ?
i 'm sorry . all the appointments are filled .",how about the 10 o'clock ?,"[""oh , what a pity . i 'd like to see the doctor as soon as possible . i have a sharp pain in my chest .""]",0.714787774495238,0.714787774495238,0.714787774495238,0.714787774495238,0.85650015,0.5730754002172825,0.714787774495238
