dialogue_id,context,response,reference,annotations.relevance,annotations.language_usage,am_scores,fm_scores,am_fm_scores
humod_00000,You're asking me out.  That's so cute. What's your name again?,Forget it.,"['why dont you remember my name?', 'Nevermind', ""Seriously, after all this time you don't know my name.""]",0.8452905226197114,0.8452905226197114,0.9037014,0.7868796206407288,0.8452905226197114
humod_00001,You're asking me out.  That's so cute. What's your name again?,Shhhh.,"[""My name's Bilbo. Bilbo T. Baggins."", ""It's John"", ""Yes I'm asking you out.""]",0.9156985142586751,0.9156985142586751,0.87359965,0.9577973800417031,0.9156985142586751
humod_00002,"Gosh, if only we could find Kat a boyfriend...",Let me see what I can do.,"['She is difficult to please.', 'I may have the perfect person in mind.', 'let me see who i know who is available']",0.928441620406953,0.928441620406953,0.9045743,0.9523089657971212,0.928441620406953
humod_00003,"Gosh, if only we could find Kat a boyfriend...",As many times as it takes.,"[""It's taken us too many tries."", 'yes i found', 'It would be wrong on so many levels...']",0.7343924605444552,0.7343924605444552,0.8019384,0.6668465065152408,0.7343924605444552
humod_00004,There.,Where?,"['Are you going there?', ""Then let's go!"", ""I'm not that tall to reach the shelf, ask for a ladder.""]",0.9554529022560792,0.9554529022560792,0.92742175,0.9834840558740052,0.9554529022560792
humod_00005,There.,I love you.,"['here?', 'Thank you, babe. I love you!.', 'The book I need is kept right there above the shelf.']",0.9653814383603809,0.9653814383603809,0.93298376,0.9977791206553932,0.9653814383603809
humod_00006,"Sure have.
I really, really, really wanna go, but I can't.  Not unless my sister goes.",I'm workin' on it. But she doesn't seem to be goin' for him.,"[""I'll ask her if she wants to go"", ""I'll take care of her, you take care of getting yourself there."", 'I am working on convincing her to go.']",0.9289762898473781,0.9289762898473781,0.90522695,0.9527256338176812,0.9289762898473781
humod_00007,"Sure have.
I really, really, really wanna go, but I can't.  Not unless my sister goes.",It's a surprise.,"['Do you always do what your sister wants', 'Bring your sister along!', ""Why can't she come?""]",0.9022016975679059,0.9022016975679059,0.92143226,0.8829711384372034,0.9022016975679059
humod_00008,Hi.,"Looks like things worked out tonight, huh?","['Hi', 'What are you doing here?', 'hello']",0.9103823362426582,0.9103823362426582,0.878036,0.9427286502990371,0.9103823362426582
humod_00009,Hi.,Or both.,"['Hello. How are you?', 'Hi.', 'Goodbye.']",0.9205189726356529,0.9205189726356529,0.92055714,0.9204808039672896,0.9205189726356529
humod_00010,Have fun tonight?,Tons,"['Lots of fun.', 'Tons....the party was woke, there was so many people there', 'More than you will ever know.']",0.9842909376417781,0.9842909376417781,0.97255886,0.9960230192731193,0.9842909376417781
humod_00011,Have fun tonight?,Maybe they won't stand on ceremony.,"['Oh I will.', 'Not so much, it was one of the worst date ever.', 'I had a blast']",0.9253991212247069,0.9253991212247069,0.9172112,0.933587067484509,0.9253991212247069
humod_00012,"Well, no...
Then that's all you had to say.
But",You always been this selfish?,"['What would you say?', 'Yes, yes I have.', 'You always been this vindictive?']",0.8592533850150876,0.8592533850150876,0.9222083,0.7962984608565912,0.8592533850150876
humod_00013,"Well, no...
Then that's all you had to say.
But",Luke needs help.  We must go back.,"['But nothing a simple no is all that is needed.', ""No, there's nothing else."", ""I knew it was a bad idea, you're nothing but troubles.""]",0.9051223892770778,0.9051223892770778,0.90889335,0.9013514317676565,0.9051223892770778
humod_00014,Wow,Let's go.,"['Ok', 'Amazing.', 'That is amazing']",0.9315200526828327,0.9315200526828327,0.9608992,0.902140931152256,0.9315200526828327
humod_00015,Wow,You need a new car anyway.,"['You bought a new car.', 'wow what?', 'She is a beautiful baby']",0.8962612203391906,0.8962612203391906,0.9119891,0.8805333478515379,0.8962612203391906
humod_00016,She okay?,I hope so.,"['I think she will be okay.', 'yes, she is fine', 'I think so.']",0.9480231000455335,0.9480231000455335,0.92371964,0.972326555544558,0.9480231000455335
humod_00017,She okay?,Junior!,"['No she is not.', 'yes i am sure she is fine', ""I'm not sure, but she isn't crying.""]",0.9208209822081257,0.9208209822081257,0.9011223,0.9405196924016334,0.9208209822081257
humod_00018,They do to!,They do not!,"[""No, they don't!"", 'dont know very well', ""Oh no they don't!""]",0.812788179024043,0.812788179024043,0.9135274,0.7120489289442345,0.812788179024043
humod_00019,They do to!,Shut up and let me think.,"[""No... it's all in your head."", 'They do not.', 'I disagree.']",0.9580737329267008,0.9580737329267008,0.92694104,0.989206428675362,0.9580737329267008
humod_00020,"Did you change your hair?
No.",You might wanna think about it,"['you should', ""Why? What's wrong with my hair?"", ""Hmm, then there's something else about you that's different.""]",0.9703540024626887,0.9703540024626887,0.9538598,0.9868481988645862,0.9703540024626887
