dialogue_id,context,response,reference,annotations.relevance,annotations.language_usage,am_scores,fm_scores,am_fm_scores
humod_00000,You're asking me out.  That's so cute. What's your name again?,Forget it.,"['why dont you remember my name?', 'Nevermind', ""Seriously, after all this time you don't know my name.""]",0.9059839172320613,0.9059839172320613,0.9037014,0.9082664098654287,0.9059839172320613
humod_00001,You're asking me out.  That's so cute. What's your name again?,Shhhh.,"[""My name's Bilbo. Bilbo T. Baggins."", ""It's John"", ""Yes I'm asking you out.""]",0.9211658931947362,0.9211658931947362,0.87359965,0.9687321379138253,0.9211658931947362
humod_00002,"Gosh, if only we could find Kat a boyfriend...",Let me see what I can do.,"['She is difficult to please.', 'I may have the perfect person in mind.', 'let me see who i know who is available']",0.8921915333577556,0.8921915333577556,0.9045743,0.8798087916987265,0.8921915333577556
humod_00003,"Gosh, if only we could find Kat a boyfriend...",As many times as it takes.,"[""It's taken us too many tries."", 'yes i found', 'It would be wrong on so many levels...']",0.7317477247292187,0.7317477247292187,0.8019384,0.6615570348847679,0.7317477247292187
humod_00004,There.,Where?,"['Are you going there?', ""Then let's go!"", ""I'm not that tall to reach the shelf, ask for a ladder.""]",0.9314279278895439,0.9314279278895439,0.92742175,0.9354341071409347,0.9314279278895439
humod_00005,There.,I love you.,"['here?', 'Thank you, babe. I love you!.', 'The book I need is kept right there above the shelf.']",0.945766202639055,0.945766202639055,0.93298376,0.9585486492127412,0.945766202639055
humod_00006,"Sure have.
I really, really, really wanna go, but I can't.  Not unless my sister goes.",I'm workin' on it. But she doesn't seem to be goin' for him.,"[""I'll ask her if she wants to go"", ""I'll take care of her, you take care of getting yourself there."", 'I am working on convincing her to go.']",0.9511485953401436,0.9511485953401436,0.90522695,0.997070244803212,0.9511485953401436
humod_00007,"Sure have.
I really, really, really wanna go, but I can't.  Not unless my sister goes.",It's a surprise.,"['Do you always do what your sister wants', 'Bring your sister along!', ""Why can't she come?""]",0.9383250505283323,0.9383250505283323,0.92143226,0.955217844358056,0.9383250505283323
humod_00008,Hi.,"Looks like things worked out tonight, huh?","['Hi', 'What are you doing here?', 'hello']",0.9057357810725618,0.9057357810725618,0.878036,0.9334355399588443,0.9057357810725618
humod_00009,Hi.,Or both.,"['Hello. How are you?', 'Hi.', 'Goodbye.']",0.9333877660549337,0.9333877660549337,0.92055714,0.9462183908058511,0.9333877660549337
humod_00010,Have fun tonight?,Tons,"['Lots of fun.', 'Tons....the party was woke, there was so many people there', 'More than you will ever know.']",0.969008922889705,0.969008922889705,0.97255886,0.9654589897689729,0.969008922889705
humod_00011,Have fun tonight?,Maybe they won't stand on ceremony.,"['Oh I will.', 'Not so much, it was one of the worst date ever.', 'I had a blast']",0.9009586809136545,0.9009586809136545,0.9172112,0.8847061868624041,0.9009586809136545
humod_00012,"Well, no...
Then that's all you had to say.
But",You always been this selfish?,"['What would you say?', 'Yes, yes I have.', 'You always been this vindictive?']",0.8521474862467427,0.8521474862467427,0.9222083,0.7820866633199015,0.8521474862467427
humod_00013,"Well, no...
Then that's all you had to say.
But",Luke needs help.  We must go back.,"['But nothing a simple no is all that is needed.', ""No, there's nothing else."", ""I knew it was a bad idea, you're nothing but troubles.""]",0.9463114666076523,0.9463114666076523,0.90889335,0.9837295864288056,0.9463114666076523
humod_00014,Wow,Let's go.,"['Ok', 'Amazing.', 'That is amazing']",0.9696656464427278,0.9696656464427278,0.9608992,0.9784321186720462,0.9696656464427278
humod_00015,Wow,You need a new car anyway.,"['You bought a new car.', 'wow what?', 'She is a beautiful baby']",0.8987017866534237,0.8987017866534237,0.9119891,0.885414480480004,0.8987017866534237
humod_00016,She okay?,I hope so.,"['I think she will be okay.', 'yes, she is fine', 'I think so.']",0.9585033918488359,0.9585033918488359,0.92371964,0.993287139151163,0.9585033918488359
humod_00017,She okay?,Junior!,"['No she is not.', 'yes i am sure she is fine', ""I'm not sure, but she isn't crying.""]",0.8971617918787502,0.8971617918787502,0.9011223,0.8932013117428826,0.8971617918787502
humod_00018,They do to!,They do not!,"[""No, they don't!"", 'dont know very well', ""Oh no they don't!""]",0.8244479901390253,0.8244479901390253,0.9135274,0.7353685511741992,0.8244479901390253
humod_00019,They do to!,Shut up and let me think.,"[""No... it's all in your head."", 'They do not.', 'I disagree.']",0.9394169530886269,0.9394169530886269,0.92694104,0.9518928689992143,0.9394169530886269
humod_00020,"Did you change your hair?
No.",You might wanna think about it,"['you should', ""Why? What's wrong with my hair?"", ""Hmm, then there's something else about you that's different.""]",0.9614004790667567,0.9614004790667567,0.9538598,0.9689411520727224,0.9614004790667567
humod_00021,"Did you change your hair?
No.",Tell me the first thing that comes to your mind.,"['Well, it looks really nice.', 'Does he think I need to change my hair?', 'Sorry, something looks different about you.']",0.8090065274601876,0.8090065274601876,0.8891802,0.7288328715097306,0.8090065274601876
humod_00022,"Where did he go?  He was just here.
Who?",Joey.,"['The man, he was just here a second ago!', 'Who do you think? Joey!', 'joey?']",0.9359824149167024,0.9359824149167024,0.913879,0.9580858525346683,0.9359824149167024
humod_00023,"Where did he go?  He was just here.
Who?","We both talked to her, Michael. And your dad.","[""You know who I'm talking about."", 'That guy.', 'The lady we just spoke with.']",0.9099814771861261,0.9099814771861261,0.9021281,0.9178348539770497,0.9099814771861261
