context,dialogue_id,model_name,response,annotations.relevance,am_scores,fm_scores,am_fm_scores
"Someone let me cut in line at the store so I could check out faster.
wow that was really nice of them",empathetic-grade_00000,transformer_generator,thats cool,0.07542477844879109,0.14660701200918222,0.004242544888399958,0.07542477844879109
"My sunday was great. All my chores were done ahead of time. It was a rare and welcomed day.
that is awesome. sundays are usually my veg out days.",empathetic-grade_00001,transformer_generator,oh thats cool,0.22102494863507358,0.160712009772276,0.28133788749787114,0.22102494863507358
"Well, it takes perseverance and a bit of luck, but you can do it!
My dream job is being born rich. Its too late for that",empathetic-grade_00002,transformer_generator,thats cool,0.05346239679045999,0.09363135940305617,0.013293434177863814,0.05346239679045999
"I always feel like no one hears me. Like When I speak it falls on deaf ears.
That sucks. Maybe it's time to get new friends?",empathetic-grade_00003,transformer_generator,That ' s cool . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.46784356912083613,0.0,0.9356871382416723,0.46784356912083613
"As I look at my 21 year old son, I often reflect on when he was smaller. Time really flies!
Time sure does fly and change is inevitable",empathetic-grade_00004,transformer_generator,thats cool,0.11397730963676522,0.04293320991472867,0.1850214093588018,0.11397730963676522
"I was excited when I bought my car
that is exciting! what kind of car?",empathetic-grade_00005,transformer_generator,oh wow that ' s cool . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,0.4672551559960635,0.0,0.934510311992127,0.4672551559960635
"A dog chased me through a street the other day
did he catch you?",empathetic-grade_00006,transformer_generator,oh thats cool,0.2312158049624135,0.16283701500165132,0.2995945949231757,0.2312158049624135
"A year ago, I found an injured baby kitten in the road while driving.
Oh no! Did you take the kitten to an animal hospital or care for it yourself?",empathetic-grade_00007,transformer_generator,oh wow that ' s so sweet ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,0.48860880668474366,0.0,0.9772176133694873,0.48860880668474366
"Omg! That is terrible. They should really be considerate of people's time
I wouldn't have minded as much if he actually seemed to care.  If they make you wait and then spend alot of time with you that is one thing",empathetic-grade_00008,transformer_generator,thats a good thing to do,0.356577774474071,0.056786435173915725,0.6563691137742264,0.356577774474071
"I was planning my wedding and trying to get a caterer.  The one we were looking at was completely ignoring every time my wife tried to communicate with them, to the point where I told them off and went with someone else.
Sounds like you made the right decision.  What a bunch of A-holes",empathetic-grade_00009,transformer_generator,oh thats cool,0.23343021923753962,0.14500487825268787,0.32185556022239137,0.23343021923753962
"I've been training a new girl at work this week!
How is she doing",empathetic-grade_00010,transformer_generator,thats cool,0.18855938866901334,0.16198144145239346,0.21513733588563322,0.18855938866901334
"It is a blessing and curse. When I am having problems I think about what she would say to me.
That's a good way to remember her and keep her close to your heart.",empathetic-grade_00011,transformer_generator,thats cool,0.06065999666822308,0.12131999333644616,0.0,0.06065999666822308
"My husband might loose his job, I'm not sure what we will do if he does.
That is terrible. Why do you think that he will lose his job?",empathetic-grade_00012,transformer_generator,thats a good thing to do . i hope he is a good job,0.40465568200438584,0.1587274233906568,0.6505839406181149,0.40465568200438584
"We walked, we ate ice cream, we rode a bike, we laughed a lot, we enjoyed the outdoors, we were exhausted
Who did you do all those things with? Sounds like a wonderful day!",empathetic-grade_00013,transformer_generator,thats cool,0.06661843644133929,0.13323687288267858,0.0,0.06661843644133929
"Did I tell you what happened with Li the other night? Boy do I feel dumb.
No, you didn't tell me! What happened?",empathetic-grade_00014,transformer_generator,Oh no ! That ' s a good time !,0.3438872034987601,0.1551856976790285,0.5325887093184918,0.3438872034987601
"I am impressed in my sisters camping skills. They are very good
what did she do ?",empathetic-grade_00015,transformer_generator,thats cool,0.16609929371797688,0.1337882810891358,0.19841030634681797,0.16609929371797688
"I just went today to visit my son in his new house.
how was it",empathetic-grade_00016,transformer_generator,thats cool,0.0843943301571961,0.1687886603143922,0.0,0.0843943301571961
"I was stunned with fear to find a rattlesnake right where i was about to step into last week
holy cow! Thats terrifying. What did you do?",empathetic-grade_00017,transformer_generator,oh wow ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,0.4913624170065569,0.0,0.9827248340131138,0.4913624170065569
"I'm gonna need your support here, because I'm going through something a little bit rough, okay?
Anything you need!! I'm here for you!",empathetic-grade_00018,transformer_generator,thats cool,0.09438089304987099,0.07163187812990822,0.11712990796983375,0.09438089304987099
"I think that in the past i have spent time caring about things that aren't important.
What kind of thing?  You could always change that in the future.",empathetic-grade_00019,transformer_generator,That ' s great ! I hope you have a good time !,0.37608890734672773,0.13046563897760866,0.6217121757158468,0.37608890734672773
"I'm in contract to buy my first house, fingers crossed closing goes well and I close next Friday!
That is so exciting!! buying a house can be such a great experience.",empathetic-grade_00020,transformer_generator,thats cool,0.06740144314053698,0.11421072296376349,0.020592163317310452,0.06740144314053698
"Every year when the kids go back to school, it brings back so many memories of when my kids were going to school.
I know what you mean.  I love to see all the pictures, and think back to how little mine used to be.",empathetic-grade_00021,transformer_generator,thats cool,0.059832189247364456,0.07077758797872125,0.048886790516007674,0.059832189247364456
"First day of school I remember ,my kids first day of school, how did it make you feel?
It just gave me the feeling that time flies by too quickly sometimes.  My youngest in the pic was in first grade and his older sister was in 7th grade.",empathetic-grade_00022,transformer_generator,thats cool,0.04518049712760545,0.0,0.0903609942552109,0.04518049712760545
"I love teaching people how to skydive - it is so much fun helping them to learn.
That's sound like a lot of fun! Do you know where I can go get lessons?",empathetic-grade_00023,transformer_generator,That ' s great ! i hope you have a good time,0.4042250983511157,0.13530669199500567,0.6731435047072257,0.4042250983511157
